plot_type,plot,plot_2,type,Confi,HW,Shrub,Herb,f.a,Gram,Perc_cvr,major_species
1 00u,1 00,1_00,u,1,1,0,0,0,0,1,"WP, AC, RM"
1 00g,1 00,1_00,g,0,0,1,0,0,0,3,HLB
1 01u,1 01,1_01,u,1,0,0,0,0,0,1,WP
1 01g,1 01,1_01,g,1,0,1,0,0,0,1,WP
1 03u,1 03,1_03,u,1,1,0,0,0,0,1,
1 03g,1 03,1_03,g,0,1,1,0,0,0,2,"BLB, Slash "
1 07u,1 07,1_07,u,1,1,0,0,0,0,1,WP
1 07g,1 07,1_07,g,0,0,1,0,0,0,,BLB
1 09u,1 09,1_09,u,1,1,0,0,0,0,2,"WP, AC, RM"
1 09g,1 09,1_09,g,0,0,1,0,0,0,3,HLB
1 13u,1 13,1_13,u,1,0,0,0,0,0,2,WP
1 13g,1 13,1_13,g,0,0,1,0,1,0,2,CF
1 19u,1 19,1_19,u,1,0,0,0,0,0,1,
1 19g,1 19,1_19,g,0,0,1,0,0,0,,HLB
1 23u,1 23,1_23,u,0,1,0,0,0,0,2,AC
1 23g,1 23,1_23,g,0,0,1,0,0,0,2,HLB
1 28u,1 28,1_28,u,1,0,0,0,0,0,1,"WP, Sp"
1 28g,1 28,1_28,g,0,0,0,0,1,0,1,"NYF, HSF"
1 29u,1 29,1_29,u,0,1,1,0,0,0,,ML
1 29g,1 29,1_29,g,0,0,1,0,1,0,,"ML, BLB"
1 30u,1 30,1_30,u,1,1,0,0,0,0,1,"WP, BB"
1 30g,1 30,1_30,g,0,0,0,1,1,0,1,"HSF, CaM (patchy)"
1 31u,1 31,1_31,u,1,1,0,0,0,0,1,Sparse
1 31g,1 31,1_31,g,0,0,1,0,1,0,4,HSF
1 32u,1 32,1_32,u,1,1,0,0,0,0,1,WP
1 32g,1 32,1_32,g,0,1,1,0,0,0,4,"BLB, Oaks, AC"
1 33u,1 33,1_33,u,1,1,0,0,0,0,1,
1 33g,1 33,1_33,g,0,1,0,0,1,0,4,"HSF, slash covered by ferns"
1 34u,1 34,1_34,u,0,0,1,0,0,0,1,WH
1 34g,1 34,1_34,g,0,0,0,0,1,0,4,"HSF, osmunda fern"
1 38u,1 38,1_38,u,1,1,0,0,1,0,1,WP
1 38g,1 38,1_38,g,0,0,0,0,1,0,1,Slash
1 40u,1 40,1_40,u,1,1,0,0,0,0,2,WP
1 40g,1 40,1_40,g,1,0,1,0,0,0,3,"WP, HLB"
1 40u,1 40,1_40,u,1,1,0,0,0,0,2,
1 40g,1 40,1_40,g,1,0,1,0,0,0,1,"HLB, BLB, WP"
1 45u,1 45,1_45,u,0,1,0,0,0,0,2,"BB, RM, AC"
1 45g,1 45,1_45,g,0,1,1,0,0,0,1,"BLB, HLB, ML"
1 46u,1 46,1_46,u,1,1,0,0,0,0,1,"BB, WP"
1 46g,1 46,1_46,g,0,0,1,0,1,0,3,HSF
1 47u,1 47,1_47,u,0,1,0,0,0,0,1,BB
1 47g,1 47,1_47,g,0,1,1,0,1,0,3,"HSF, BB"
1 50u,1 50,1_50,u,1,1,0,0,0,0,1,"WP, HLB, ML"
1 50g,1 50,1_50,g,0,1,1,0,0,0,3,"Maples, HLB"
1 51u,1 51,1_51,u,1,1,1,0,0,0,2,"WH, WP, ML"
1 51g,1 51,1_51,g,0,0,0,0,1,0,1,HSF
1 52u,1 52,1_52,u,0,1,0,0,0,0,2,"RM, BB"
1 52g,1 52,1_52,g,0,0,1,0,1,0,1,"HLB, HSF"
1 54u,1 54,1_54,u,0,1,0,0,0,0,2,"BB, AC"
1 54g,1 54,1_54,g,0,1,1,0,0,0,1,Sparse
1 56u,1 56,1_56,u,0,1,0,0,0,0,2,
1 56g,1 56,1_56,g,0,0,0,0,1,0,1,
1 65u,1 65,1_65,u,0,1,0,0,0,0,1,
1 65g,1 65,1_65,g,0,0,0,0,1,0,4,
1 67u,1 67,1_67,u,0,1,0,0,0,0,1,BB
1 67g,1 67,1_67,g,0,0,1,0,0,0,2,"BLB, ML"
1 69u,1 69,1_69,u,1,1,0,0,0,0,1,WP
1 69g,1 69,1_69,g,0,1,0,0,1,0,3,
1 71u,1 71,1_71,u,1,1,0,0,0,0,1,
1 71g,1 71,1_71,g,0,1,1,0,1,0,4,ferns
1 72u,1 72,1_72,u,1,1,0,0,0,0,1,BB
1 72g,1 72,1_72,g,0,0,0,0,1,0,4,ferns
1 73u,1 73,1_73,u,0,1,0,0,0,0,1,BB
1 73g,1 73,1_73,g,0,0,0,0,1,0,3,ferns
1 75u,1 75,1_75,u,0,1,0,0,0,0,1,
1 75g,1 75,1_75,g,1,1,0,0,0,0,1,WP
1 80u,1 80,1_80,u,0,1,0,0,0,0,1,
1 80g,1 80,1_80,g,0,1,1,0,0,0,3,BLB
1 83u,1 83,1_83,u,1,0,1,0,0,0,1,"ML, WP"
1 83g,1 83,1_83,g,0,0,1,0,0,0,2,
1 89u,1 89,1_89,u,0,1,1,0,0,0,2,BB
1 89g,1 89,1_89,g,1,0,1,0,1,0,3,ferns
1 90u,1 90,1_90,u,0,1,0,0,0,0,1,
1 90g,1 90,1_90,g,0,1,0,0,1,0,2,BB
1 95u,1 95,1_95,u,0,0,0,0,0,0,1,
1 95g,1 95,1_95,g,0,0,0,1,1,0,4,ferns
1 97u,1 97,1_97,u,0,1,1,0,0,0,2,WH
1 97g,1 97,1_97,g,0,1,1,0,0,0,1,BLB
1 98u,1 98,1_98,u,0,1,0,0,0,0,1,
1 98g,1 98,1_98,g,0,0,0,0,1,0,1,"very sparce, lots of WP needles"
2 05u,2 05,2_05,u,0,1,0,0,0,0,1,Maples
2 05g,2 05,2_05,g,1,1,1,0,0,0,1,HL
2 07u,2 07,2_07,u,1,1,1,0,0,0,,"WH, WP"
2 07g,2 07,2_07,g,0,1,0,0,1,0,,StM
2 08u,2 08,2_08,u,1,0,0,0,0,0,2,WP
2 08g,2 08,2_08,g,1,1,0,0,0,0,1,"StM, HL, WP"
2 15u,2 15,2_15,u,1,1,0,0,0,0,2,"WP, BB"
2 15g,2 15,2_15,g,0,0,0,0,1,0,2,
2 16u,2 16,2_16,u,1,1,1,0,0,0,3,"WH, Oaks"
2 16g,2 16,2_16,g,0,0,0,1,1,0,1,CaM
2 23u,2 23,2_23,u,1,0,0,0,0,0,3,WP
2 23g,2 23,2_23,g,0,1,1,0,0,0,1,Sparse
2 24u,2 24,2_24,u,1,0,0,0,0,0,2,WP
2 24g,2 24,2_24,g,0,1,1,0,0,0,1,Sparse
2 31u,2 31,2_31,u,1,1,0,0,0,0,1,"WP, Maples"
2 31g,2 31,2_31,g,0,0,0,0,1,0,2,
2 38u,2 38,2_38,u,1,0,0,0,0,0,1,WP
2 38g,2 38,2_38,g,0,0,0,0,1,0,2,
2 39u,2 39,2_39,u,1,1,0,0,0,0,,"WP, BB"
2 39g,2 39,2_39,g,0,0,1,0,1,0,,CF
2 40u,2 40,2_40,u,0,1,1,0,0,0,1,"WH, BB"
2 40g,2 40,2_40,g,0,0,0,0,1,0,2,CF
2 41u,2 41,2_41,u,1,1,1,0,0,0,2,"WP, BB, WH"
2 41g,2 41,2_41,g,0,0,1,0,1,0,1,"BLB, HSF"
2 47u,2 47,2_47,u,1,0,1,0,0,0,,"WH, WP"
2 47g,2 47,2_47,g,0,0,0,0,1,0,2,CF
2 49u,2 49,2_49,u,1,1,1,0,0,0,2,WH
2 49g,2 49,2_49,g,0,0,0,0,1,0,2,
2 50u,2 50,2_50,u,1,1,0,0,0,0,2,"WP, StM"
2 50g,2 50,2_50,g,0,0,1,0,0,0,2,BLB
3 00u,3 00,3_00,u,1,1,0,0,0,0,3,BB
3 00g,3 00,3_00,g,0,0,0,0,0,0,1,Sparse
3 04u,3 04,3_04,u,1,1,0,0,0,0,2,"WP, BB"
3 04g,3 04,3_04,g,0,0,0,0,1,0,2,
3 14u,3 14,3_14,u,0,1,1,0,0,0,1,
3 14g,3 14,3_14,g,0,1,1,0,0,0,1,
3 15u,3 15,3_15,u,1,1,0,0,0,0,3,WP
3 15g,3 15,3_15,g,0,1,1,0,0,0,1,Oaks
3 16u,3 16,3_16,u,1,0,1,0,0,0,1,"WP, BLB"
3 16g,3 16,3_16,g,0,0,0,0,1,0,4,HSF
3 17u,3 17,3_17,u,1,0,0,0,0,0,1,
3 17g,3 17,3_17,g,0,0,0,0,1,0,4,"HSF, slash"
3 19u,3 19,3_19,u,1,0,0,0,0,0,2,WP
3 19g,3 19,3_19,g,1,1,1,0,0,0,4,HLB
3 20u,3 20,3_20,u,1,1,0,0,0,0,1,"WP, Beech"
3 20g,3 20,3_20,g,0,1,1,0,0,0,3,"HLB, BLB, Maples, Oaks"
3 21u,3 21,3_21,u,1,0,0,0,0,0,1,WP
3 21g,3 21,3_21,g,0,0,0,0,1,1,4,"Slash, HSF"
3 22u,3 22,3_22,u,0,1,1,0,0,0,2,"YB,  WH"
3 22g,3 22,3_22,g,0,0,0,0,1,0,3,assorted fern
3 25u,3 25,3_25,u,1,0,0,0,0,0,1,WP
3 25g,3 25,3_25,g,1,1,1,0,0,0,1,"BLB, HLB"
3 27u,3 27,3_27,u,1,0,0,0,0,0,3,WO
3 27g,3 27,3_27,g,0,1,0,0,0,0,1,
3 28u,3 28,3_28,u,1,1,0,0,0,0,,"WP, Hk"
3 28g,3 28,3_28,g,0,0,0,0,1,0,,ferns
3 29u,3 29,3_29,u,1,1,0,0,0,0,3,WP
3 29g,3 29,3_29,g,0,1,1,0,0,0,1,
3 30u,3 30,3_30,u,1,1,0,0,0,0,3,
3 30g,3 30,3_30,g,0,0,0,0,0,0,1,Sparse
3 32u,3 32,3_32,u,0,1,0,0,0,0,1,BB
3 32g,3 32,3_32,g,0,0,0,1,1,0,2,HSF
3 35u,3 35,3_35,u,0,1,0,0,0,0,1,Hawthorn
3 35g,3 35,3_35,g,0,0,0,1,1,0,2,"CaM, ferns"
3 39u,3 39,3_39,u,1,1,0,0,0,0,1,WP
3 39g,3 39,3_39,g,0,1,0,0,1,0,4,"assorted fern, tall-ish maples"
3 49u,3 49,3_49,u,1,1,0,0,0,0,1,"WP, birch"
3 49g,3 49,3_49,g,0,0,0,0,1,0,3,ferns
3 54u,3 54,3_54,u,1,1,0,0,0,0,,WP
3 54g,3 54,3_54,g,0,1,1,0,0,0,,"HLB, Oaks"
3 55u,3 55,3_55,u,1,1,0,0,0,0,1,WP
3 55g,3 55,3_55,g,0,1,1,0,0,0,2,"Oaks, AH"
3 60u,3 60,3_60,u,0,0,0,0,0,0,1,Sparse
3 60g,3 60,3_60,g,0,0,0,1,1,0,1,"CaM, HSF, WP"
3 62u,3 62,3_62,u,1,1,0,0,0,0,2,"WP, Birch"
3 62g,3 62,3_62,g,0,0,0,1,0,0,1,"Sparse, CaM"
3 63u,3 63,3_63,u,0,1,0,0,0,0,1,"Birch, Sparse"
3 63g,3 63,3_63,g,0,0,0,1,1,0,1,"CaM, ferns"
3 71u,3 71,3_71,u,1,0,0,0,0,0,1,WP
3 71g,3 71,3_71,g,0,0,0,1,1,0,3,HSF
3 73u,3 73,3_73,u,1,1,0,0,0,0,1,"WP, Maples"
3 73g,3 73,3_73,g,0,0,0,0,1,0,1,NYF
3 74u,3 74,3_74,u,1,0,0,0,0,0,1,WP
3 74g,3 74,3_74,g,0,0,1,0,0,0,2,"HLB, WH"
3 75u,3 75,3_75,u,1,0,0,0,0,0,2,WP
3 75g,3 75,3_75,g,0,0,1,0,1,0,1,"fern, HLB"
3 77u,3 77,3_77,u,1,0,0,0,0,0,3,WP
3 77g,3 77,3_77,g,0,0,1,0,1,0,1,
3 78u,3 78,3_78,u,1,0,0,0,0,0,3,WP
3 78g,3 78,3_78,g,0,0,0,0,1,0,1,
3 79u,3 79,3_79,u,1,1,0,0,0,0,3,WP
3 79g,3 79,3_79,g,0,0,1,1,0,0,1,
3 80u,3 80,3_80,u,1,0,0,0,0,0,2,WP
3 80g,3 80,3_80,g,0,0,1,0,0,0,1,BLB
3 83u,3 83,3_83,u,0,1,0,0,0,0,1,
3 83g,3 83,3_83,g,0,0,0,0,1,0,4,HSF
3 85u,3 85,3_85,u,1,0,0,0,0,0,2,WP
3 85g,3 85,3_85,g,0,0,1,0,0,0,2,
3 88u,3 88,3_88,u,1,1,0,0,0,0,1,
3 88g,3 88,3_88,g,0,0,0,0,1,0,4,ferns
3 96u,3 96,3_96,u,1,0,0,0,0,0,2,WP
3 96g,3 96,3_96,g,0,0,1,1,0,0,1,"Sparse, WP needles make most of the ground"
3 97u,3 97,3_97,u,1,0,0,0,0,0,1,WP
3 97g,3 97,3_97,g,0,1,1,0,0,1,4,"WO, BB"
3 99u,3 99,3_99,u,1,0,0,0,0,0,1,WP
3 99g,3 99,3_99,g,0,0,1,0,1,0,4,"ferns, HLB"
4 12u,4 12,4_12,u,0,1,0,0,0,0,1,
4 12g,4 12,4_12,g,0,0,0,0,1,0,4,ferns
4 13u,4 13,4_13,u,0,1,1,0,0,0,2,"WH, BB"
4 13g,4 13,4_13,g,0,0,0,0,1,0,3,ferns
4 16u,4 16,4_16,u,0,1,1,0,0,0,1,
4 16g,4 16,4_16,g,0,0,1,0,1,0,3,
4 17u,4 17,4_17,u,1,1,0,0,0,0,2,WP
4 17g,4 17,4_17,g,0,1,0,0,1,0,2,HSF
4 25u,4 25,4_25,u,0,0,1,0,0,0,2,WH
4 25g,4 25,4_25,g,0,1,0,0,1,0,1,"Oaks, EHop, ferns"
4 26u,4 26,4_26,u,0,1,1,0,0,0,2,"birch, WH"
4 26g,4 26,4_26,g,0,1,1,1,1,0,2,HSF
4 27u,4 27,4_27,u,1,0,0,0,0,0,1,WP
4 27g,4 27,4_27,g,0,1,1,0,0,1,1,BLB
4 31u,4 31,4_31,u,0,1,0,0,0,0,1,Sparse
4 31g,4 31,4_31,g,0,0,1,0,1,0,1,
4 33u,4 33,4_33,u,1,0,0,0,0,0,2,WP
4 33g,4 33,4_33,g,0,0,1,0,0,1,1,BLB
4 35u,4 35,4_35,u,1,1,0,0,0,0,1,WP
4 35g,4 35,4_35,g,0,0,1,0,1,0,4,HSF
4 37u,4 37,4_37,u,0,1,0,0,0,0,1,BB
4 37g,4 37,4_37,g,0,0,0,0,1,0,2,
4 39u,4 39,4_39,u,1,1,0,0,0,0,2,WP
4 39g,4 39,4_39,g,0,0,0,0,1,0,2,
4 40u,4 40,4_40,u,0,1,0,0,0,0,,BB
4 40g,4 40,4_40,g,0,0,0,0,0,0,,ferns
4 43u,4 43,4_43,u,1,0,0,0,0,0,2,WP
4 43g,4 43,4_43,g,0,0,0,0,1,0,2,
4 44u,4 44,4_44,u,0,1,0,0,0,0,1,
4 44g,4 44,4_44,g,0,0,1,0,1,1,3,"CF, HSF"
4 53u,4 53,4_53,u,0,1,0,0,0,0,2,BB
4 53g,4 53,4_53,g,0,0,0,0,1,0,3,ferns
4 56u,4 56,4_56,u,0,1,0,0,0,0,1,
4 56g,4 56,4_56,g,0,0,0,0,1,0,4,ferns
4 57u,4 57,4_57,u,0,1,0,0,0,0,1,Sparse
4 57g,4 57,4_57,g,0,1,0,0,1,0,,ferns
4 60u,4 60,4_60,u,1,0,0,0,0,0,2,WP
4 60g,4 60,4_60,g,0,1,1,0,0,0,2,HLB
4 62u,4 62,4_62,u,0,1,0,0,0,0,1,
4 62g,4 62,4_62,g,0,0,0,0,1,0,3,HSF
4 63u,4 63,4_63,u,1,1,0,0,0,0,2,"WP, WH"
4 63g,4 63,4_63,g,0,1,1,0,0,0,1,"Oaks, WH"
4 64u,4 64,4_64,u,0,1,0,0,0,0,1,
4 64g,4 64,4_64,g,0,0,0,0,1,0,4,HSF
4 67u,4 67,4_67,u,1,1,0,0,0,0,1,WP
4 67g,4 67,4_67,g,0,1,0,0,0,0,2,"Hk, birch"
4 68u,4 68,4_68,u,0,1,0,0,0,0,1,
4 68g,4 68,4_68,g,0,0,1,0,1,0,4,"HSF, rubus"
4 72u,4 72,4_72,u,0,1,0,0,0,0,2,BB
4 72g,4 72,4_72,g,0,0,0,0,1,0,2,assorted fern
4 74u,4 74,4_74,u,1,0,0,0,0,0,1,WP
4 74g,4 74,4_74,g,0,1,1,0,1,1,1,ferns
4 76u,4 76,4_76,u,1,1,0,0,0,0,4,WP
4 76g,4 76,4_76,g,0,1,0,0,0,0,1,
4 77u,4 77,4_77,u,0,1,1,0,0,0,1,BB
4 77g,4 77,4_77,g,0,0,1,1,1,0,,"MR, GR, SF"
4 85u,4 85,4_85,u,1,1,0,0,0,0,2,WP
4 85g,4 85,4_85,g,0,0,1,0,1,0,2,"HSF, JB, PI"
4 87u,4 87,4_87,u,0,0,0,0,0,0,1,Sparse
4 87g,4 87,4_87,g,0,0,0,1,1,0,1,Ferns; Sparse
4 90u,4 90,4_90,u,0,1,0,0,0,0,1,
4 90g,4 90,4_90,g,0,0,0,0,1,0,3,
4 93u,4 93,4_93,u,0,1,0,0,0,0,1,BB
4 93g,4 93,4_93,g,0,0,0,0,1,0,3,HSF
4 96u,4 96,4_96,u,0,1,1,0,0,0,1,WBH
4 96g,4 96,4_96,g,0,1,1,0,1,0,3,"CF, Oaks, Maples"
4 97u,4 97,4_97,u,1,0,1,0,0,0,1,WBH
4 97g,4 97,4_97,g,0,0,1,0,1,0,3,"JB, ferns"
5 00u,5 00,5_00,u,1,0,0,0,0,0,2,WP
5 00g,5 00,5_00,g,1,0,0,1,0,0,1,Sparse 
5 06u,5 06,5_06,u,1,0,0,0,0,0,1,WP
5 06g,5 06,5_06,g,0,0,1,1,1,0,2,CaM
5 07u,5 07,5_07,u,1,0,0,0,0,0,1,WP
5 07g,5 07,5_07,g,0,0,0,0,1,0,4,assorted fern
5 09u,5 09,5_09,u,1,0,0,0,0,0,2,WP
5 09g,5 09,5_09,g,0,0,0,0,1,0,2,assorted fern
5 10u,5 10,5_10,u,1,1,0,0,0,0,2,WP
5 10g,5 10,5_10,g,0,0,0,0,1,0,3,
5 12u,5 12,5_12,u,1,1,0,0,0,0,2,WP
5 12g,5 12,5_12,g,0,0,0,0,1,0,4,
5 15u,5 15,5_15,u,1,1,1,0,0,0,2,Hk
5 15g,5 15,5_15,g,0,0,1,0,0,0,4,JB
5 20u,5 20,5_20,u,0,1,1,0,0,0,1,
5 20g,5 20,5_20,g,0,1,1,0,0,0,1,Sparse
5 24u,5 24,5_24,u,0,0,1,0,0,0,1,WBH
5 24g,5 24,5_24,g,0,0,1,0,1,0,3,"JB, ferns"
5 26u,5 26,5_26,u,1,1,1,0,0,0,1,"WP, WBH"
5 26g,5 26,5_26,g,0,0,0,0,1,0,3,assorted fern
5 27u,5 27,5_27,u,0,1,1,0,0,0,1,birch
5 27g,5 27,5_27,g,0,0,1,0,1,0,3,WH
5 30u,5 30,5_30,u,0,1,0,0,0,0,2,BB
5 30g,5 30,5_30,g,0,1,1,0,1,0,1,HSF
5 32u,5 32,5_32,u,0,1,0,0,0,0,2,birch
5 32g,5 32,5_32,g,0,0,0,0,1,0,1,assorted fern
5 38u,5 38,5_38,u,0,1,0,0,0,0,1,BB
5 38g,5 38,5_38,g,0,1,1,0,1,0,2,"Oaks, AH"
5 54u,5 54,5_54,u,1,1,0,0,0,0,1,WP
5 54g,5 54,5_54,g,0,1,0,1,0,0,1,"RM, assorted herbs"
5 55u,5 55,5_55,u,1,1,0,0,0,0,2,"WP, AC"
5 55g,5 55,5_55,g,0,1,1,0,0,0,1,HLB
5 56u,5 56,5_56,u,0,1,0,0,0,0,2,
5 56g,5 56,5_56,g,0,1,0,0,1,0,,HSF
5 58u,5 58,5_58,u,0,1,0,0,0,0,,WP
5 58g,5 58,5_58,g,0,1,1,0,1,0,,"HLB, HSF"
5 59u,5 59,5_59,u,0,1,0,0,0,0,1,
5 59g,5 59,5_59,g,0,0,1,0,0,0,2,
5 64u,5 64,5_64,u,1,1,0,0,0,0,1,"WP, BB"
5 64g,5 64,5_64,g,0,1,0,0,0,0,1,
5 65u,5 65,5_65,u,1,0,0,0,0,0,2,WP
5 65g,5 65,5_65,g,0,1,1,0,0,0,1,"BB, HLB"
5 75u,5 75,5_75,u,1,1,0,0,0,0,2,
5 75g,5 75,5_75,g,0,0,0,0,1,0,2,
5 77u,5 77,5_77,u,0,1,0,0,0,0,1,SM
5 77g,5 77,5_77,g,0,0,0,0,1,0,3,HSF
5 81u,5 81,5_81,u,0,1,0,0,0,0,1,
5 81g,5 81,5_81,g,0,0,1,0,1,0,2,HSF
5 85u,5 85,5_85,u,0,1,0,0,0,0,1,
5 85g,5 85,5_85,g,0,0,0,0,1,0,,
5 86u,5 86,5_86,u,1,0,1,0,0,0,3,WP
5 86g,5 86,5_86,g,0,0,1,0,1,0,,"HSF, AH"
5 87u,5 87,5_87,u,0,1,0,0,0,0,2,
5 87g,5 87,5_87,g,0,0,1,0,1,0,3,"ferns, JB"
5 88u,5 88,5_88,u,0,1,0,0,0,0,2,birch
5 88g,5 88,5_88,g,0,0,1,0,1,0,3,JB
5 90u,5 90,5_90,u,1,1,0,0,0,0,3,"WP, BB"
5 90g,5 90,5_90,g,0,1,0,0,0,0,1,"Sparse, HW"
5 91u,5 91,5_91,u,0,1,0,0,0,0,,BB
5 91g,5 91,5_91,g,1,0,0,0,0,0,,WP
5 92u,5 92,5_92,u,0,1,0,0,0,0,2,BB
5 92g,5 92,5_92,g,0,0,1,1,0,0,1,
5 97u,5 97,5_97,u,0,1,0,0,0,0,1,
5 97g,5 97,5_97,g,0,0,1,0,1,0,3,HSF
5 98u,5 98,5_98,u,1,1,0,0,0,0,2,WP
5 98g,5 98,5_98,g,0,0,1,0,0,0,2,
6 01u,6 01,6_01,u,0,1,0,0,0,0,2,"RM, StM"
6 01g,6 01,6_01,g,1,0,0,0,1,0,2,"WP, some fern patches"
6 03u,6 03,6_03,u,0,1,0,0,0,0,2,BB
6 03g,6 03,6_03,g,0,0,0,0,1,0,1,
6 04u,6 04,6_04,u,0,1,0,0,0,0,1,
6 04g,6 04,6_04,g,0,0,1,0,1,0,3,ferns
6 05u,6 05,6_05,u,0,1,0,0,0,0,1,birch
6 05g,6 05,6_05,g,0,0,0,0,1,0,3,
6 08u,6 08,6_08,u,1,1,0,0,0,0,2,birch
6 08g,6 08,6_08,g,0,0,0,0,1,0,3,
6 11u,6 11,6_11,u,1,1,0,0,0,0,3,"WP, BB"
6 11g,6 11,6_11,g,0,1,1,0,0,0,1,
6 12u,6 12,6_12,u,0,1,0,0,0,0,2,birches
6 12g,6 12,6_12,g,1,0,0,1,1,0,4,"HSF, WP"
6 13u,6 13,6_13,u,,,,,,,,
6 13g,6 13,6_13,g,,,,,,,,
6 19u,6 19,6_19,u,0,1,0,0,0,0,1,birches
6 19g,6 19,6_19,g,0,1,1,0,1,0,2,"HSF, Oaks"
6 23u,6 23,6_23,u,1,0,0,0,0,0,3,WP
6 23g,6 23,6_23,g,0,1,1,0,0,0,1,"BLB, Oaks"
6 24u,6 24,6_24,u,1,1,0,0,0,0,1,WP
6 24g,6 24,6_24,g,0,0,1,0,1,0,3,"HSF, HLB"
6 28u,6 28,6_28,u,1,0,0,0,0,0,2,WP
6 28g,6 28,6_28,g,0,1,1,0,0,0,1,
6 29u,6 29,6_29,u,1,1,0,0,0,0,,WP
6 29g,6 29,6_29,g,0,1,1,0,0,0,,
6 33u,6 33,6_33,u,0,0,0,0,0,0,1,BB
6 33g,6 33,6_33,g,0,0,1,0,1,0,3,"HLB, MB"
6 35u,6 35,6_35,u,0,1,1,0,0,0,1,"WH, birch"
6 35g,6 35,6_35,g,0,0,0,0,1,0,3,
6 37u,6 37,6_37,u,1,1,0,0,0,0,1,WP
6 37g,6 37,6_37,g,1,0,0,0,1,0,1,"WP, ferns"
6 42u,6 42,6_42,u,1,1,0,0,0,0,2,WP
6 42g,6 42,6_42,g,0,0,0,0,1,0,3,ferns
6 46u,6 46,6_46,u,1,1,0,0,0,0,2,"Oak, Birch"
6 46g,6 46,6_46,g,0,1,0,0,1,0,1,"Oaks, ferns"
6 47u,6 47,6_47,u,0,1,0,0,0,0,1,
6 47g,6 47,6_47,g,0,0,0,0,1,0,2,ferns
6 50u,6 50,6_50,u,1,1,0,0,0,0,1,WP
6 50g,6 50,6_50,g,0,0,1,0,1,0,3,"JB, BS, HSF"
6 53u,6 53,6_53,u,0,1,0,0,0,0,3,BB
6 53g,6 53,6_53,g,0,0,0,1,0,0,1,
6 56u,6 56,6_56,u,0,1,1,0,0,0,2,"BLB, WH"
6 56g,6 56,6_56,g,0,0,0,1,1,0,2,"HSF, BB, CaM"
6 59u,6 59,6_59,u,1,1,0,0,0,0,2,"BB, WP"
6 59g,6 59,6_59,g,0,0,0,0,1,0,1,
6 60u,6 60,6_60,u,0,1,1,0,0,0,2,"Honeysuckle, maple, BB"
6 60g,6 60,6_60,g,0,0,1,0,1,0,2,"HSF, JB, BS"
6 65u,6 65,6_65,u,1,1,0,0,0,0,2,BB
6 65g,6 65,6_65,g,0,0,0,0,1,0,2,ferns
6 66u,6 66,6_66,u,1,0,0,0,0,0,1,WP
6 66g,6 66,6_66,g,0,0,1,0,0,0,1,CaM
6 67u,6 67,6_67,u,1,1,0,0,0,0,2,BB
6 67g,6 67,6_67,g,0,0,1,0,0,0,2,HLB
6 68u,6 68,6_68,u,0,1,0,0,0,0,2,BB
6 68g,6 68,6_68,g,0,1,1,0,1,0,3,
6 69u,6 69,6_69,u,0,1,0,0,0,0,1,
6 69g,6 69,6_69,g,1,0,1,0,1,0,,"WP, assorted fern"
6 70u,6 70,6_70,u,0,1,1,0,0,0,1,WH
6 70g,6 70,6_70,g,1,0,0,0,1,0,3,WP
6 72u,6 72,6_72,u,0,1,0,0,0,0,2,BB
6 72g,6 72,6_72,g,0,0,0,0,1,0,1,
6 77u,6 77,6_77,u,0,1,0,0,0,0,2,BB
6 77g,6 77,6_77,g,0,0,0,1,1,0,2,ferns
6 78u,6 78,6_78,u,1,1,0,0,0,0,3,"BB, WP"
6 78g,6 78,6_78,g,0,0,0,0,1,0,1,HSF
6 81u,6 81,6_81,u,0,1,1,0,0,0,2,BS
6 81g,6 81,6_81,g,0,0,1,0,1,0,4,"fern, JB"
6 82u,6 82,6_82,u,1,1,0,0,0,0,3,"WP, Birch"
6 82g,6 82,6_82,g,0,0,0,0,1,0,3,
6 84u,6 84,6_84,u,1,1,1,0,0,0,3,"BB, WP, HLB"
6 84g,6 84,6_84,g,0,0,1,0,0,0,1,"HLB, Oaks"
6 85u,6 85,6_85,u,1,1,0,0,0,0,2,"WP, birches"
6 85g,6 85,6_85,g,0,0,0,0,0,0,1,Sparse
6 88u,6 88,6_88,u,0,1,0,0,0,0,3,BB
6 88g,6 88,6_88,g,0,0,0,0,0,0,1,"Sparse, pine needles"
6 89u,6 89,6_89,u,1,1,0,0,0,0,2,"WP, BB"
6 89g,6 89,6_89,g,0,0,0,0,1,0,3,
6 90u,6 90,6_90,u,1,1,0,0,0,0,2,"BB, WP"
6 90g,6 90,6_90,g,0,0,1,1,1,0,1,HSF
6 91u,6 91,6_91,u,1,1,0,0,0,0,3,"WP, BB"
6 91g,6 91,6_91,g,0,1,0,0,1,0,1,"HSF, BB"
6 92u,6 92,6_92,u,0,1,1,0,0,0,1,Sparse
6 92g,6 92,6_92,g,1,1,0,0,0,0,2,
6 93u,6 93,6_93,u,1,1,0,0,0,0,3,"BB, WP"
6 93g,6 93,6_93,g,0,1,1,0,0,1,2,BB
6 96u,6 96,6_96,u,1,1,0,0,0,0,4,"WP, BB"
6 96g,6 96,6_96,g,0,1,0,0,0,0,1,WO
