system:index,2005-04-15_score_mean,2005-05-15_score_mean,2005-06-15_score_mean,2005-07-15_score_mean,2005-08-15_score_mean,2006-04-15_score_mean,2006-05-15_score_mean,2006-06-15_score_mean,2006-07-15_score_mean,2006-08-15_score_mean,2007-04-15_score_mean,2007-05-15_score_mean,2007-06-15_score_mean,2007-07-15_score_mean,2007-08-15_score_mean,2008-04-15_score_mean,2008-05-15_score_mean,2008-06-15_score_mean,2008-07-15_score_mean,2008-08-15_score_mean,2009-04-15_score_mean,2009-05-15_score_mean,2009-06-15_score_mean,2009-07-15_score_mean,2009-08-15_score_mean,2010-04-15_score_mean,2010-05-15_score_mean,2010-06-15_score_mean,2010-07-15_score_mean,2010-08-15_score_mean,2011-04-15_score_mean,2011-05-15_score_mean,2011-06-15_score_mean,2011-07-15_score_mean,2011-08-15_score_mean,2012-04-15_score_mean,2012-05-15_score_mean,2012-06-15_score_mean,2012-07-15_score_mean,2012-08-15_score_mean,2013-04-15_score_mean,2013-05-15_score_mean,2013-06-15_score_mean,2013-07-15_score_mean,2013-08-15_score_mean,2014-04-15_score_mean,2014-05-15_score_mean,2014-06-15_score_mean,2014-07-15_score_mean,2014-08-15_score_mean,2015-04-15_score_mean,2015-05-15_score_mean,2015-06-15_score_mean,2015-07-15_score_mean,2015-08-15_score_mean,2016-04-15_score_mean,2016-05-15_score_mean,2016-06-15_score_mean,2016-07-15_score_mean,2016-08-15_score_mean,2017-04-15_score_mean,2017-05-15_score_mean,2017-06-15_score_mean,2017-07-15_score_mean,2017-08-15_score_mean,2018-04-15_score_mean,2018-05-15_score_mean,2018-06-15_score_mean,2018-07-15_score_mean,2018-08-15_score_mean,2019-04-15_score_mean,2019-05-15_score_mean,2019-06-15_score_mean,2019-07-15_score_mean,2019-08-15_score_mean,2020-04-15_score_mean,2020-05-15_score_mean,2020-06-15_score_mean,2020-07-15_score_mean,2020-08-15_score_mean,2021-04-15_score_mean,2021-05-15_score_mean,2021-06-15_score_mean,2021-07-15_score_mean,2021-08-15_score_mean,2022-04-15_score_mean,2022-05-15_score_mean,2022-06-15_score_mean,2022-07-15_score_mean,2022-08-15_score_mean,plot,.geo
0,-1544,-154,691,942,365,-983,807,723,120,29,-1734,1728,740,380,-438,-1217,415,605,-157,-360,-1221,1198,,731,-41,684,1854,872,445,153,-635,-48,-122,-203,-852,-825,,180,344,-251,-942,980,381,,22,-1869,-597,587,472,1490,-1156,1954,,390,-667,-600,487,1177,628,1121,-1356,123,-1031,-2015,-1497,-1729,566,-1334,,-554,-928,1164,565,-451,198,-344,1687,,883,1559,,-214,1331,,,-1462,1734,2287,1979,1732,Q1,"{""type"":""Point"",""coordinates"":[-72.27716765620943,42.497074648074296]}"
1,-2158,-190,166,-566,-1053,-1534,-404,266,52,-472,-2101,1407,1016,-310,-36,-1153,522,1303,1220,305,-1250,1171,,750,484,-581,1641,794,-190,-129,-1473,-199,875,-704,-603,-1376,,473,399,61,-1420,177,329,920,139,-1223,-990,910,210,1004,-1765,1135,279,832,-818,-881,-438,703,442,1144,-1263,-1166,-5592,-2918,-2588,-1844,1104,-402,,-408,-842,307,22,-418,-306,483,1430,,496,871,,-75,1599,,,-548,1826,2239,1840,1731,Q3,"{""type"":""Point"",""coordinates"":[-72.27501391040062,42.49161224928382]}"
2,-1896,446,1077,457,-225,-1191,-150,780,392,-417,-1183,1446,1074,-2223,-132,-842,883,1217,952,389,-870,2199,,882,-426,-163,1936,1299,241,319,-595,6,-651,551,-282,-845,,247,613,335,-1103,232,-1244,,-21,-2276,,-1253,360,,-1322,806,,214,-1301,-656,204,325,182,130,-1151,113,,-639,-809,-1343,631,741,,,-612,772,1360,1064,378,670,2030,,1620,1594,,-749,1455,,,-2348,953,2147,1554,1333,Q5,"{""type"":""Point"",""coordinates"":[-72.27730588834208,42.48709072081563]}"
3,-2858,-7,612,156,-823,-1251,99,639,220,-492,-1769,1024,1044,1742,705,-866,230,1033,566,255,-1277,1240,,1200,983,736,1750,978,158,129,-1117,407,454,136,-510,-828,,,97,-376,-952,477,221,365,47,-1100,-1577,-180,-138,,-1037,1034,9,-438,-2030,-336,-92,-3226,-2419,-1551,-931,-1265,-3068,-1982,-1270,-734,60,-858,,-138,1275,1125,703,1146,689,1658,1985,,1761,1939,,929,2545,,,-569,5336,4657,3192,1668,Q6,"{""type"":""Point"",""coordinates"":[-72.27255248661912,42.484874547592064]}"
4,-2416,-171,828,189,-366,-1794,,124,160,-428,-1749,1011,151,1087,-109,-1107,133,-744,346,282,-1138,1352,,-187,533,813,1626,1112,490,873,-483,1106,731,621,-138,-211,,393,481,412,-994,530,561,792,328,-2906,-164,429,215,939,-1636,972,-64,-71,-889,-883,-830,-172,-444,-72,-1318,502,-500,-800,356,-1262,1603,559,,1045,-371,1276,537,451,569,-1029,1624,,920,1304,,3632,848,,,-1900,1687,1437,1113,336,Q8,"{""type"":""Point"",""coordinates"":[-72.26960502082278,42.47962618565216]}"
5,-1863,-377,822,893,-241,-1171,769,347,-212,-536,-1451,1524,929,,30,-1221,449,861,506,275,-1328,,,799,66,-158,1764,554,-130,71,-729,851,229,295,-550,-973,,-77,789,40,-1284,1048,-3732,245,-125,-1459,,1458,192,2665,-1246,2207,1259,371,-3786,-402,737,-359,-350,195,-878,878,-2402,-1701,-2459,-989,1251,242,,,340,598,946,716,710,344,1256,,1199,1476,,-166,949,,,-1211,838,3099,2417,1579,Q9,"{""type"":""Point"",""coordinates"":[-72.27649879105141,42.47751703085388]}"
6,-2339,697,183,930,-462,-1307,545,84,-455,-1298,-2382,1117,1053,,-31,-848,824,289,334,214,-876,2967,,1027,-203,1514,1900,773,191,117,-575,721,639,343,-724,-362,,33,1255,320,-1231,445,-32,450,64,-1704,,352,9,1935,-1377,1346,675,497,-3968,-545,-1151,-3083,-2209,-1334,-1448,541,,-2466,-3130,-1192,479,-1148,,-1102,528,432,-384,340,17,1079,1203,,1320,1606,,4474,1857,,,-347,2965,650,-26,2135,Q10,"{""type"":""Point"",""coordinates"":[-72.27157148438735,42.47632199177156]}"
7,-1832,198,972,809,-308,-1296,,342,-566,-1170,-2057,253,816,726,-850,-1673,-115,1448,-1339,-152,-1714,1786,,804,726,-332,1750,842,391,51,-1139,2176,467,486,38,-1038,,-624,194,-560,-1178,33,-589,165,-7,-1711,-961,442,149,-1179,-1517,579,480,352,-2045,-700,-360,-3245,-3189,-1713,-1606,-965,-1277,-2147,-2232,-1146,-848,-1708,,,386,-323,40,-619,426,877,1310,,1204,1093,,4122,1545,,,690,4235,3283,5066,2334,Q11,"{""type"":""Point"",""coordinates"":[-72.27154472978104,42.47107362983166]}"
8,-1762,324,764,-759,-2739,-1630,438,218,-978,-2231,-2154,297,1217,1107,-97,-706,802,1435,1013,1204,-499,2674,868,1425,1115,-35,2172,760,523,981,-713,858,797,281,-617,-1578,,-1284,395,-458,-1978,-378,-666,-636,-705,-2651,-2081,471,-11,,-1865,1031,581,675,1507,-522,780,529,356,952,-1048,-1401,-4445,-1977,-1346,-2526,893,-201,,-29,-806,584,75,-2028,-538,-740,1529,,711,1039,,3622,1683,,,-1173,3362,4655,3354,2387,Q12,"{""type"":""Point"",""coordinates"":[-72.27558467533547,42.4671139480962]}"
9,-1360,580,,-823,1074,-914,-439,1048,1162,172,-1423,1430,482,539,190,-1192,305,,1351,381,-1152,1382,,729,-293,-612,1278,589,378,-1104,-1279,,174,399,,-1145,,403,,,-1411,424,614,684,347,-2492,-807,2087,1045,,-1595,1776,1213,922,2149,-842,917,751,555,,-1357,528,,-92,655,-1059,1380,-1498,,-992,-984,936,618,1364,511,-1313,1447,,1163,,,-834,1098,,,-2417,900,1881,2281,,QH,"{""type"":""Point"",""coordinates"":[-72.31336217946026,42.53109313001104]}"
0000000000000000000a,-928,-228,1844,1273,-151,-280,479,863,793,-117,-1549,1795,1034,496,272,-1091,-422,-1177,777,413,-859,1585,115,646,-188,-213,2157,881,564,73,-1141,2863,568,634,-684,-800,,247,1078,-187,-1465,396,-96,154,-1301,-2498,-1343,1831,738,1617,-2605,529,545,957,-1203,-1962,-1775,577,1014,1129,-1482,-253,-559,-1924,-2039,-1686,760,-1156,-1568,-1072,-919,138,163,498,-576,-25,827,882,601,-232,,608,307,-69,627,-1506,881,1965,1715,2328,SC,"{""type"":""Point"",""coordinates"":[-72.167585247821,42.4508114746448]}"
0000000000000000000b,-1439,-975,1238,333,-137,-737,1216,922,202,-3,-791,3144,1237,18,668,-1073,652,1226,153,135,-620,3463,175,1115,535,68,1912,-287,-283,-689,-716,1366,47,-357,-475,-881,,510,-314,-491,-928,675,-186,-455,-780,-1332,-1655,1463,105,1303,-1479,2090,95,883,783,-815,-580,399,602,667,-1247,-828,-5728,-3440,-2369,-1567,729,238,-156,-349,-271,505,-549,-823,-610,93,1064,1636,1383,262,,1037,1187,248,546,-910,1673,2248,1932,1865,S8,"{""type"":""Point"",""coordinates"":[-72.21808456725127,42.465918909013865]}"