plot,plot_2,SPP,DBH,CnpExp,DieB,Cond,Epi.S,Notes
4 62,4_62,BB,64.2,1,1,L,NA,
4 63,4_63,BB,42.1,2,1,L,NA,concave trunk
4 63,4_63,BB,40.2,1,1,L,NA,
4 63,4_63,RO,37.5,1,1,L,Yes,
4 63,4_63,RO,44.6,1,1,L,Yes,double stem; other dead
4 63,4_63,WO,30,1,2,L,No,
4 63,4_63,BB,29.1,3,1,L,NA,
4 63,4_63,BB,38.6,2,1,L,NA,
4 64,4_64,RM,34.7,1,1,L,NA,
4 64,4_64,Hk,34.2,1,1,L,NA,
4 64,4_64,RM,36.6,1,1,L,NA,
4 64,4_64,SM,18.7,2,1,L,NA,
4 64,4_64,WA,42,1,1,L,NA,
4 64,4_64,RO,81.8,1,2,L,Yes,
4 67,4_67,RO,64.8,1,2,L,No,
4 67,4_67,Hk,23.1,1,1,L,NA,
4 67,4_67,Hk,28.5,2,1,L,NA,
4 67,4_67,Hk,40.7,1,1,L,NA,
4 67,4_67,RO,67.1,1,1,L,Yes,
4 67,4_67,SM,19.4,3,1,L,NA,
4 67,4_67,Hk,40.8,1,1,L,NA,
4 67,4_67,Hk,50.1,1,1,L,NA,
4 67,4_67,Hk,36.7,1,1,L,NA,
4 67,4_67,Hk,32.3,1,1,L,NA,
4 68,4_68,RO,45.8,1,1,L,No,Both well above the canopy together
4 68,4_68,RO,45.8,1,1,L,No,
4 72,4_72,RO,38.1,1,1,L,Yes,
4 72,4_72,RM,34.1,2,1,L,NA,
4 72,4_72,RO,73.4,1,1,L,No,
4 72,4_72,RO,48.7,2,1,L,Yes,
4 72,4_72,RO,36.4,2,1,L,No,
4 72,4_72,RO,54.3,1,1,L,Yes,
4 72,4_72,WA,23.8,2,1,L,NA,
4 72,4_72,WA,26.3,2,1,L,NA,
4 72,4_72,WA,49,1,1,L,NA,
4 72,4_72,RO,42.5,1,1,L,Yes,
4 74,4_74,WP,44.3,1,1,L,NA,
4 74,4_74,WP,21.9,1,1,L,NA,
4 74,4_74,WP,25.3,1,1,L,NA,
4 74,4_74,WP,35.4,1,1,L,NA,
4 74,4_74,WP,16.7,1,1,L,NA,
4 74,4_74,WP,22,1,1,L,NA,
4 74,4_74,WP,17.8,1,1,L,NA,
4 74,4_74,WP,32.2,1,1,L,NA,
4 74,4_74,WP,28.8,1,1,L,NA,
4 74,4_74,WP,36.4,1,1,L,NA,
4 74,4_74,WP,34.6,1,1,L,NA,
4 74,4_74,SM,90.7,1,1,L,NA,Branch fell off
4 76,4_76,RO,54.3,1,1,L,Yes,
4 76,4_76,RO,52.1,1,1,L,Yes,
4 76,4_76,RO,45.2,1,1,L,Yes,
4 76,4_76,Be,23.2,3,1,L,NA,
4 76,4_76,RO,52.9,1,2,L,Yes,
4 76,4_76,WP,60.9,1,1,L,NA,
4 76,4_76,BB,38.9,1,1,L,NA,
4 76,4_76,RM,18.2,3,1,L,NA,
4 76,4_76,RO,53.9,1,2,L,Yes,
4 77,4_77,WA,87,1,1,L,NA,"In a clearing directly by the woods, hollow for ~15 ft"
4 77,4_77,RO,55.7,1,1,L,Yes,
4 77,4_77,WA,52.1,1,1,L,NA,missing top of crown 
4 85,4_85,BB,38.3,2,1,L,NA,
4 85,4_85,BB,41.6,1,1,L,NA,
4 85,4_85,BB,10.4,3,1,L,NA,
4 85,4_85,BB,14.5,3,1,L,NA,
4 85,4_85,BB,45.7,1,1,L,NA,
4 85,4_85,BB,34.7,1,1,L,NA,
4 85,4_85,WP,69.3,1,1,L,NA,
4 85,4_85,WP,61.2,1,1,L,NA,
4 85,4_85,WP,51.7,1,1,L,NA,
4 85,4_85,WP,57.4,1,1,L,NA,
4 85,4_85,WP,50.4,1,1,L,NA,
4 85,4_85,BB,41.2,1,1,L,NA,
4 85,4_85,BB,40.4,1,1,L,NA,
4 85,4_85,BB,33.2,2,1,L,NA,
4 85,4_85,BB,42.4,1,1,L,NA,
4 85,4_85,WP,31,3,1,L,NA,
4 87,4_87,WP,52.5,1,1,L,NA,
4 87,4_87,BB,12.8,2,1,L,NA,
4 87,4_87,BB,12.9,2,1,L,NA,
4 87,4_87,BB,11.1,2,1,L,NA,
4 87,4_87,WP,46.6,1,1,L,NA,
4 87,4_87,BB,10.1,2,1,L,NA,
4 87,4_87,BB,12.3,2,1,L,NA,
4 87,4_87,BB,16.8,2,1,L,NA,
4 90,4_90,WA,52.4,1,1,L,NA,
4 90,4_90,RM,26.8,3,1,L,NA,
4 90,4_90,RM,39.8,1,1,L,NA,
4 90,4_90,RM,50.8,2,1,L,NA,
4 90,4_90,RM,37.2,2,1,L,NA,
4 90,4_90,WP,108.5,1,1,L,NA,double
4 90,4_90,RM,48.1,1,1,L,NA,
4 90,4_90,RM,68.7,1,1,L,NA,double  of fourstem
4 90,4_90,RM,52.1,1,1,L,NA,four stem
4 90,4_90,RM,42.8,1,1,L,NA,four stem
4 90,4_90,WP,94.6,1,1,L,NA,
4 90,4_90,RM,35.1,1,2,L,NA,
4 93,4_93,RO,74.5,1,1,L,Yes,
4 93,4_93,RO,61.8,1,1,L,Yes,
4 93,4_93,RO,56.8,1,2,L,Yes,
4 96,4_96,RM,42.6,1,1,L,NA,
4 96,4_96,WA,50.3,1,1,L,NA,
4 96,4_96,BB,31.3,2,1,L,NA,
4 96,4_96,BB,35,1,1,L,NA,
4 96,4_96,BB,15.6,2,1,L,NA,
4 96,4_96,BB,47.6,2,1,L,NA,Nectria canker
4 96,4_96,WA,57.1,1,1,L,NA,
4 96,4_96,WA,13.5,2,1,L,NA,
4 96,4_96,BB,46.1,1,1,L,NA,big crown
4 96,4_96,BB,27.9,1,1,L,NA,
4 96,4_96,BB,20.8,2,1,L,NA,bent base on mound
4 96,4_96,BB,32.1,1,1,L,NA,
4 97,4_97,BB,25.9,2,1,L,NA,
4 97,4_97,WA,39.8,1,1,L,NA,
4 97,4_97,WA,54.1,1,1,L,NA,
4 97,4_97,BB,32.3,3,1,L,NA,
4 97,4_97,RM,67.7,1,1,L,NA,
4 97,4_97,WA,44.5,1,1,L,NA,
4 97,4_97,WA,62.4,1,1,L,NA,
4 97,4_97,BB,31.4,2,1,L,NA,
4 97,4_97,WA,62.3,1,1,L,NA,
4 97,4_97,RM,28.9,2,1,L,NA,
4 97,4_97,RM,27.2,2,1,L,NA,
5 00,5_00,WP,64.1,1,1,L,NA,
5 00,5_00,WP,74.3,1,1,L,NA,
5 00,5_00,RM,43.2,2,1,L,NA,
5 00,5_00,WP,71.5,2,1,L,NA,
5 00,5_00,WP,19.5,3,1,L,NA,
5 00,5_00,WP,60.8,1,1,L,NA,
5 00,5_00,WP,59,1,1,L,NA,
5 00,5_00,WP,58.8,1,1,L,NA,
5 00,5_00,RM,31.2,1,1,L,NA,
5 00,5_00,RM,30.1,1,1,L,NA,
5 00,5_00,RM,22.9,2,1,L,NA,
5 00,5_00,WP,47,1,1,L,NA,
5 00,5_00,RM,37,1,1,L,NA,
5 06,5_06,WP,64.3,1,1,L,NA,
5 06,5_06,WP,52.8,1,1,L,NA,
5 06,5_06,WP,77.6,1,1,L,NA,
5 06,5_06,WP,63.4,1,1,L,NA,
5 06,5_06,BB,15,3,1,L,NA,
5 06,5_06,BB,14.3,2,1,L,NA,leaning
5 06,5_06,WA,43.3,1,4,L,NA,2 branches with leaves
5 07,5_07,WP,38.8,1,1,L,NA,
5 07,5_07,WP,60.6,1,1,L,NA,
5 07,5_07,WP,39.5,2,1,L,NA,
5 07,5_07,WP,65.9,1,1,L,NA,
5 07,5_07,WP,60.8,1,1,L,NA,
5 07,5_07,WP,67.4,1,1,L,NA,
5 07,5_07,RM,41.5,2,1,L,NA,
5 07,5_07,RO,75,1,2,L,Yes,
5 07,5_07,RM,52.4,3,1,L,NA,
5 07,5_07,Hk,44.5,2,1,L,NA,
5 07,5_07,WP,26.2,3,1,L,NA,
5 09,5_09,WP,10.3,3,1,L,NA,
5 09,5_09,WP,10.5,3,1,L,NA,
5 09,5_09,WP,43.2,1,1,L,NA,
5 09,5_09,RM ,57.2,1,1,L,NA,
5 09,5_09,WP,53.8,1,1,L,NA,
5 09,5_09,WP,53.1,1,1,L,NA,
5 09,5_09,WP,59.7,1,1,L,NA,
5 09,5_09,WP,58,1,1,L,NA,
5 09,5_09,RO,56.5,1,1,L,Yes,
5 09,5_09,RM,36.7,2,1,L,NA,
5 09,5_09,WP,33.5,1,1,L,NA,
5 09,5_09,WP,54.8,1,1,L,NA,
5 09,5_09,WP,51.6,1,1,L,NA,
5 09,5_09,WP,54.3,1,1,L,NA,
5 10,5_10,RM,40.6,1,1,L,NA,double stem
5 10,5_10,RM,42.1,1,1,L,NA,double stem
5 10,5_10,WP,46.2,1,1,L,NA,
5 10,5_10,RM,57.4,2,1,L,NA,double stem
5 10,5_10,WP,62.9,1,1,L,NA,
5 10,5_10,RM,71.1,1,1,L,NA,triple stem 
5 10,5_10,RM,36,1,1,L,NA,
5 10,5_10,RM,46.6,2,1,L,NA,double stem
5 10,5_10,RM,32.8,1,1,L,NA,
5 10,5_10,WP,53.8,1,1,L,NA,
5 10,5_10,RM,30.2,2,1,L,NA,
5 10,5_10,WP,48.5,1,1,L,NA,
5 10,5_10,RM,36.4,1,2,L,NA,
5 12,5_12,WP,79.1,1,1,L,NA,
5 12,5_12,RM,41.8,1,1,L,NA,
5 12,5_12,WP,69.8,1,1,L,NA,
5 15,5_15,RM,19.3,3,1,L,NA,
5 15,5_15,RM,54.9,2,2,L,NA,"double stem, one stem dead"
5 15,5_15,Hk,44,1,1,L,NA,Shagbark hickory
5 15,5_15,RM,49.6,2,1,L,NA,
5 15,5_15,RM,51.9,1,1,L,NA,
5 15,5_15,RM,70,1,1,L,NA,
5 15,5_15,WP,84.8,1,1,L,NA,
5 15,5_15,WA,47,1,3,L,NA,
5 15,5_15,WA,38,1,2,L,NA,
5 15,5_15,RM,35.4,1,1,L,NA,
5 20,5_20,BB,13.3,2,1,L,NA,
5 20,5_20,RO,30.6,1,1,L,Yes,
5 20,5_20,RO,31.5,1,1,L,Yes,Some dieback
5 20,5_20,RO,32.5,1,1,L,Yes,
5 20,5_20,RO,35.5,1,1,L,Yes,
5 20,5_20,RO,38.9,1,2,L,Yes,
5 20,5_20,RO,26.2,1,2,L,Yes,
5 20,5_20,RO,35.2,1,1,L,Yes,
5 20,5_20,RO,39.9,1,2,L,Yes,
5 24,5_24,RM,53.6,1,1,L,NA,4 stems
5 24,5_24,RM,20.5,1,1,L,NA,4 stems
5 24,5_24,RM,20.9,1,1,L,NA,4 stems
5 24,5_24,RM,40.6,1,1,L,NA,
5 24,5_24,WP,64,1,1,L,NA,
5 24,5_24,RO,39.5,1,1,L,No,
5 24,5_24,RM,60.6,1,2,L,NA,
5 24,5_24,RM,30.3,2,1,L,NA,
5 24,5_24,RO,51.3,1,1,L,No,
5 24,5_24,RO,46.2,2,2,L,No,Big branch gone
5 24,5_24,WO,72.2,2,3,L,No,
5 24,5_24,WP,67.9,1,1,L,NA,
5 24,5_24,RO,47.8,1,1,L,No,
5 24,5_24,RM,41.3,1,2,L,NA,
5 26,5_26,Hk,14.1,2,1,L,NA,
5 26,5_26,WO,60.6,1,1,L,No,
5 26,5_26,BO,40.6,1,1,L,Yes,
5 26,5_26,BO,74.8,1,1,L,No,
5 26,5_26,Hk,16.8,3,1,L,NA,double stem
5 26,5_26,RM,41.2,1,1,L,NA,Double stem
5 26,5_26,RM,33,1,1,L,NA,
5 26,5_26,RO,52.3,1,1,L,Yes,
5 26,5_26,RO,60.1,1,2,L,Yes,
5 27,5_27,RM,44,1,1,L,NA,
5 27,5_27,RM,39.9,1,1,L,NA,
5 27,5_27,RM,33.9,1,1,L,NA,
5 27,5_27,Hk,73.2,1,1,L,NA,
5 27,5_27,RM,31.8,1,1,L,NA,
5 27,5_27,RM,46.4,1,1,L,NA,
5 27,5_27,RM,27,3,1,L,NA,
5 27,5_27,RM,67.8,1,1,L,NA,
5 27,5_27,RM,27.8,2,1,L,NA,
5 27,5_27,RM,46.1,2,1,L,NA,
5 27,5_27,RO,82.4,1,2,L,No,
5 27,5_27,BO,47.9,2,1,L,No,
5 27,5_27,BO,62,1,1,L,Yes,
5 30,5_30,WP,85.9,1,1,L,NA,
5 30,5_30,RO,35.8,2,1,L,Yes,
5 30,5_30,WP,73.4,1,1,L,NA,
5 30,5_30,WP,75.3,1,1,L,NA,
5 30,5_30,BB,16.3,1,1,L,NA,
5 30,5_30,BB,11.2,1,1,L,NA,
5 30,5_30,BB,17.9,1,1,L,NA,
5 30,5_30,WP,74.7,1,1,L,NA,
5 30,5_30,Hk,15.8,1,1,L,NA,
5 30,5_30,WP,88.7,1,1,L,NA,
5 32,5_32,BB,9.2,1,1,L,NA,
5 32,5_32,WP,31.5,1,1,L,NA,
5 32,5_32,WP,53,1,1,L,NA,
5 32,5_32,WP,76.5,1,1,L,NA,
5 32,5_32,RO,42.5,2,1,L,Yes,
5 32,5_32,BB,42.2,2,3,L,NA,
5 32,5_32,RO,34.4,1,1,L,Yes,
5 32,5_32,RM,19.6,2,1,L,NA,
5 32,5_32,BO,44.9,1,1,L,Yes,
5 32,5_32,BO,42.6,1,1,L,Yes,
5 32,5_32,RM,10.7,3,1,L,NA,
5 32,5_32,BO,26.3,1,1,L,Yes,
5 32,5_32,BO,39,1,1,L,No,Leaning
5 38,5_38,RO,23.4,2,1,L,Yes,
5 38,5_38,SM,19.5,3,1,L,NA,
5 38,5_38,SM,17.7,3,1,L,NA,
5 38,5_38,WP,61.3,1,1,L,NA,
5 38,5_38,WP,64,1,1,L,NA,
5 38,5_38,RO,83.3,1,1,L,Yes,
5 38,5_38,RM,32.5,2,1,L,NA,
5 38,5_38,BO,46.2,1,1,L,Yes,
5 38,5_38,WP,52.8,1,1,L,NA,
5 38,5_38,Hk,13.3,3,1,L,NA,
5 38,5_38,Hk,33.3,2,1,L,NA,
5 38,5_38,RO,79.6,1,1,L,No,spongy moth
5 54,5_54,BB,28.1,1,1,L,NA,
5 54,5_54,WP,70.1,1,1,L,NA,
5 54,5_54,RO,32,1,1,L,Yes,
5 54,5_54,WP,20.8,1,1,L,NA,
5 54,5_54,RO,45.3,1,1,L,Yes,
5 54,5_54,RO,29.2,2,1,L,Yes,
5 54,5_54,BB,27.4,1,1,L,NA,
5 54,5_54,SM,23.9,3,1,L,NA,
5 54,5_54,SM,42.9,1,1,L,NA,
5 54,5_54,RO,54.5,1,1,L,NA,
5 54,5_54,WP,17,2,2,L,NA,
5 54,5_54,RM,12.2,3,1,L,NA,
5 55,5_55,RO,43,1,1,L,Yes,
5 55,5_55,WP,54.5,1,1,L,NA,
5 55,5_55,WP,60.3,1,1,L,NA,
5 55,5_55,BO,41.6,3,2,L,Yes,
5 55,5_55,WP,59.4,1,1,L,NA,
5 55,5_55,RO,59.7,1,2,L,Yes,
5 55,5_55,WP,53.1,1,1,L,NA,
5 55,5_55,WP,58.6,1,1,L,NA,
5 55,5_55,RM,20.3,3,2,L,NA,
5 55,5_55,RM,17.8,3,1,L,NA,
5 55,5_55,RP,15.3,3,3,L,NA,
5 56,5_56,WO,37.7,1,3,L,Yes,
5 56,5_56,RO,47.9,1,2,L,Yes,Double Stem
5 56,5_56,WP,43,1,2,L,NA,
5 56,5_56,WO,25.8,2,1,L,Yes,
5 56,5_56,WO,30.8,1,2,L,Yes,
5 56,5_56,BO,46,1,1,L,No,
5 56,5_56,BO,35.8,1,1,L,No,
5 56,5_56,BO,43.4,1,1,L,Yes,
5 56,5_56,WO,14.5,2,2,L,No,
5 56,5_56,WP,24.6,2,3,L,NA,
5 58,5_58,RO,44.8,1,1,L,No,
5 58,5_58,BO,32.6,1,2,L,Yes,
5 58,5_58,RO,49.6,1,4,L,No,fungi on stem
5 58,5_58,WO,33.5,1,2,L,Yes,
5 58,5_58,RM,16.4,3,1,L,NA,
5 58,5_58,WO,32.3,1,1,L,Yes,some die back 
5 58,5_58,RO,43.5,1,2,L,Yes,
5 58,5_58,RO,60.7,1,1,L,Yes,
5 58,5_58,RM,16.3,3,1,L,NA,
5 58,5_58,RM,18.1,3,1,L,NA,
5 59,5_59,RO,56.2,1,1,L,NA,
5 59,5_59,BB,16.6,3,1,L,NA,
5 59,5_59,RO,57.8,1,1,L,NA,
5 59,5_59,RM,18.2,3,1,L,NA,
5 59,5_59,BB,18.8,2,1,L,NA,
5 59,5_59,WP,62.7,1,1,L,NA,
5 59,5_59,WP,62.9,1,1,L,NA,
5 59,5_59,WP,54.7,1,1,L,NA,
5 59,5_59,RM,13.3,3,1,L,NA,
5 59,5_59,RO,49.1,1,2,L,Yes,
5 64,5_64,Hk,45.6,2,1,L,NA,
5 64,5_64,RO,39.3,1,1,L,Yes,
5 64,5_64,RO,50.5,1,1,L,No ,
5 64,5_64,RO,51.2,1,1,L,Yes,
5 64,5_64,Hk,31.6,1,1,L,NA,
5 65,5_65,RO,66,1,1,L,No ,
5 65,5_65,WP,11.5,3,2,L,NA,
5 65,5_65,Hk,30,1,1,L,NA,
5 65,5_65,Hk,35.2,1,1,L,NA,
5 75,5_75,WP,75.6,1,1,L,NA,
5 75,5_75,PB,19.2,1,2,L,NA,
5 75,5_75,RM,18.4,3,1,L,NA,
5 75,5_75,RO,46.9,2,1,L,Yes,
5 75,5_75,RM,19.3,2,1,L,NA,
5 75,5_75,RM,41.9,2,1,L,NA,
5 75,5_75,RM,38,1,2,L,NA,
5 75,5_75,WP,34.5,1,1,L,NA,
5 75,5_75,WP,98.3,1,1,L,NA,
5 75,5_75,WP,103.5,1,1,L,NA,
5 75,5_75,WP,56.6,1,1,L,NA,
5 75,5_75,WP,72.8,1,1,L,NA,
5 77,5_77,WP,49.2,1,1,L,NA,
5 77,5_77,WA,19.6,2,1,L,NA,
5 77,5_77,RM,36,3,1,L,NA,
5 77,5_77,RO,49.8,1,1,L,Yes,
5 77,5_77,RO,44.1,1,1,L,Yes,
5 77,5_77,WP,32.2,2,1,L,NA,
5 77,5_77,WA,28.6,1,2,L,NA,
5 77,5_77,WA,20.5,1,4,L,NA,
5 77,5_77,WA,27.6,1,1,L,NA,
5 77,5_77,WP,65.9,1,1,L,NA,
5 81,5_81,RO,47.2,1,1,L,No,
5 81,5_81,RO,66,1,1,L,No,
5 81,5_81,PB,16.3,3,1,L,NA,
5 81,5_81,RO,62,1,1,L,No,
5 81,5_81,WO,63.7,1,1,L,Yes,
5 81,5_81,RO,69.1,1,1,L,No,
5 81,5_81,RO,62.1,1,1,L,Yes,
5 81,5_81,RO,55.6,1,1,L,No,
5 81,5_81,RO,32.3,1,1,L,Yes,
5 81,5_81,RO,81.1,1,1,L,No,
5 85,5_85,RO,40.9,1,2,L,Yes,
5 85,5_85,RM,14.1,3,1,L,NA,Top fell off
5 85,5_85,RO,91.5,1,1,L,No,
5 85,5_85,RO,67,1,1,L,Yes,
5 85,5_85,RO,61,1,1,L,Yes,
5 85,5_85,RO,58.5,1,1,L,Yes,
5 85,5_85,RO,73.3,1,1,L,Yes,
5 85,5_85,RO,76.6,1,1,L,Yes,
5 85,5_85,RO,60.4,1,1,L,No,
5 85,5_85,RO,66.8,1,1,L,No,
5 85,5_85,RO,63.4,1,1,L,No,
5 85,5_85,RM,28.5,3,1,L,NA,
5 86,5_86,RO,63.8,1,1,L,Yes,
5 86,5_86,RO,52.7,1,1,L,Yes,
5 86,5_86,RM,27.4,2,1,L,NA,
5 86,5_86,RM,51.8,2,1,L,NA,
5 86,5_86,RO,28.8,1,1,L,NA,
5 86,5_86,PB,18.4,3,1,L,NA,
5 87,5_87,BB,37.8,1,1,L,NA,
5 87,5_87,RM,44.8,1,1,L,NA,
5 87,5_87,BB,20,2,1,L,NA,
5 87,5_87,WA,13.3,3,1,L,NA,
5 87,5_87,RM,53.5,1,1,L,NA,
5 87,5_87,Hk,21.2,3,1,L,NA,
5 87,5_87,RM,33.9,1,1,L,NA,
5 87,5_87,Hk,24.7,3,1,L,NA,
5 87,5_87,Hk,38.1,1,1,L,NA,
5 88,5_88,BB,47.3,1,1,L,NA,
5 88,5_88,BB,13.7,3,1,L,NA,
5 88,5_88,Hk,45.9,1,1,L,NA,
5 88,5_88,Hk,48.4,1,1,L,NA,
5 88,5_88,WP,42.5,1,1,L,NA,
5 88,5_88,WA,58.8,1,1,L,NA,
5 88,5_88,BB,25.8,2,1,L,NA,
5 88,5_88,BB,31.3,1,1,L,NA,
5 88,5_88,WP,71.2,1,1,L,NA,
5 88,5_88,BB,25.4,1,1,L,NA,
5 90,5_90,RO,48.3,1,1,L,No,
5 90,5_90,BB,14.5,2,1,L,NA,
5 90,5_90,WP,10.2,3,1,L,NA,
5 90,5_90,RM,38.5,1,1,L,NA,hole in trunk; measured above dbh
5 90,5_90,BB,40.5,1,1,L,NA,
5 90,5_90,RO,40.6,1,1,L,Yes,
5 90,5_90,BB,52.2,1,1,L,NA,
5 90,5_90,BO,45.2,1,1,L,Yes,
5 91,5_91,WP,66.7,1,1,L,NA,
5 91,5_91,BB,21.9,3,1,L,NA,
5 91,5_91,RO,53.6,1,1,L,NA,
5 91,5_91,BB,10.5,3,1,L,NA,
5 91,5_91,WO,44.9,1,2,L,NA,
5 91,5_91,RO,50,1,1,L,NA,
5 91,5_91,RO,59.7,1,1,L,NA,
5 91,5_91,BB,23.7,3,1,L,NA,
5 91,5_91,RO,47.5,1,1,L,NA,
5 91,5_91,RO,39.9,3,1,L,NA,
5 92,5_92,RO,55.5,1,1,L,No,
5 92,5_92,BB,32.8,3,1,L,NA,
5 92,5_92,RO,63.1,1,1,L,No,
5 92,5_92,RO,21.1,2,1,L,Yes,
5 92,5_92,RO,34.9,1,1,L,Yes,Triple stem
5 92,5_92,RO,39.9,1,1,L,Yes,Triple stem
5 92,5_92,RO,36.1,1,1,L,Yes,Triple stem
5 92,5_92,RO,64.4,1,1,L,Yes,
5 92,5_92,RO,77.3,1,1,L,No,
5 97,5_97,BB,42.75,2,1,L,NA,
5 97,5_97,WP,87.4,1,1,L,NA,
5 97,5_97,Hk,28.5,1,1,L,NA,
5 97,5_97,Hk,22.7,1,1,L,NA,
5 97,5_97,Hk,47,1,1,L,NA,
