plot,spp,dbh,cnp.exp,DieB,Cond,Epi.S,Notes
3 80,WO,35.4,1,1,L,Yes,
3 80,RM,35.5,1,2,L,NA,
3 80,WO,28.9,1,1,L,Yes,
3 80,WP,83.1,1,1,L,NA,
3 80,RM,21.5,3,1,L,NA,
3 80,RM,32.4,1,1,L,NA,
3 80,WO,58.7,1,1,L,Yes,holes spiraling around trunk in pattern
3 80,WP,60.1,1,1,L,NA,
3 80,RM,49.2,1,1,L,NA,
3 80,WO,23.3,1,1,L,Yes,
3 83,WA,42.5,1,2,L,NA,
3 83,WA,22.1,2,2,L,NA,
3 83,BO,72,1,2,L,No,
3 83,WA,59.4,1,3,L,NA,
3 83,RO,52.8,1,1,L,Yes,
3 83,WA,24.3,2,2,L,NA,
3 83,WA,23.9,2,2,L,NA,
3 83,BO,64,1,2,L,Yes,
3 85,WO,37.6,1,1,L,Yes,
3 85,RO,55.1,1,1,L,Yes,
3 85,RO,32.8,1,1,L,Yes,
3 85,RO,18.5,2,1,L,Yes,
3 88,SM,19.8,3,1,L,NA,
3 88,BO,58.2,1,1,L,Yes,
3 88,RO,51.6,1,1,L,No,
3 88,RM,17.9,3,1,L,NA,
3 88,BO,47.5,1,2,L,Yes,
3 88,WA,46.2,1,1,L,NA,
3 88,WA,15.2,2,1,L,NA,
3 88,RO,52.8,1,4,L,Yes,
3 96,WP,58.5,1,1,L,NA,
3 96,BO,55.9,1,2,L,Yes,"scars, bark coming off"
3 96,WP,55.2,1,1,L,NA,
3 96,WP,60.9,1,1,L,NA,double stem above dbh
3 96,BO,36.4,2,2,L,Yes,big dead branch
3 96,WP,70.4,1,1,L,NA,no blue line
3 96,BO,31,3,2,L,Yes,
3 96,BO,48.5,1,1,L,Yes,signifcant dead branches
3 96,RM,20.6,3,1,L,NA,foliage in layers
3 96,WP,55.6,1,1,L,NA,
3 96,RO,41.6,1,1,L,Yes,
3 96,BO,40.6,1,1,L,Yes,
3 96,WO,32,1,1,L,Yes,
3 97,RM,30.9,1,1,L,NA,
3 97,WP,91.7,1,1,L,NA,
3 97,RO,54.2,1,3,L,Yes,"mushrooms anddead bark, 4 large dead branches, only one live branch fully covered with leaves"
3 99,RM,60.3,1,1,L,NA,
3 99,WP,10.6,2,1,L,NA,
3 99,WP,12.2,2,1,L,NA,
3 99,RO,64.6,1,1,L,Yes,
3 99,YB,47.2,2,1,L,NA,decay; hole in trunk
3 99,RM,35.8,3,1,L,NA,
4 13,RO,78.8,1,2,L,Yes,
4 13,RO,27.4,2,1,L,NA,
4 13,RO,43.8,1,1,L,Yes,
4 13,RM,21.5,2,1,L,NA,
4 13,RM,27.5,2,1,L,NA,
4 13,RM,29,2,1,L,NA,
4 13,BB,57.4,1,1,L,NA,
4 16,RM,24.4,1,1,L,NA,
4 16,RM,32.3,2,1,L,NA,
4 16,WP,65.5,1,1,L,NA,
4 16,RO,60.5,1,1,L,NA,
4 16,RO,71,1,2,L,No,hawthorn on it
4 16,BO,32.2,1,2,L,Yes,
4 16,RM,27,1,2,L,NA,
4 17,RO,52.5,1,1,L,No,
4 17,RO,58.6,1,2,L,Yes,One big dead brnach
4 17,RO,70.1,1,1,L,Yes,double stem
4 17,RO,66.9,1,1,L,Yes,double stem
4 17,RO,53.7,1,1,L,Yes,
4 17,RO,24.8,3,1,L,Yes,
4 17,RO,43,2,1,L,Yes,double stem
4 17,RO,52.5,1,1,L,Yes,double stem
4 17,RO,59.8,1,1,L,Yes,
4 17,WO,33.7,3,2,L,Yes,
4 17,RO,49.8,2,1,L,Yes,few dead branches
4 17,RO,67.5,1,2,L,Yes,
4 25,BO,69.3,1,2,L,NA,
4 25,RO,62.3,1,1,L,NA,
4 25,EHOP,30.2,1,1,L,NA,
4 25,EHOP,21.2,1,1,L,NA,
4 25,EHOP,28.3,1,1,L,NA,
4 25,WA,54.5,1,1,L,NA,
4 25,WA,74.8,1,1,L,NA,
4 25,WA,53,1,1,L,NA,
4 26,WA,32,1,2,L,NA,
4 26,RM,28.7,1,2,L,NA,
4 26,RM,40.4,1,1,L,NA,
4 27,RO,32.4,1,1,L,Yes,
4 27,RO,24.4,3,2,L,Yes,
4 27,RO,22.6,2,1,L,Yes,
4 27,RO,30.4,1,2,L,Yes,
4 27,RO,28.9,1,2,L,Yes,
4 27,RO,29.3,1,2,L,Yes,
4 27,RO,26.8,1,2,L,Yes,
4 27,RO,21.1,2,2,L,Yes,
4 27,RO,26.5,1,2,L,Yes,
4 27,RO,41.1,1,2,L,Yes,
4 27,RO,37.2,1,2,L,Yes,
4 27,RO,26.8,1,2,L,Yes,
4 27,RO,21.7,3,4,L,NA,
4 27,RO,37,1,1,L,Yes,
4 31,BB,16.8,3,1,L,NA,
4 31,RO,24.5,3,2,L,Yes,
4 31,RO,42.5,1,2,L,No,
4 31,RO,42.9,1,2,L,No,
4 31,RO,43.9,1,3,L,Yes,
4 31,RO,41.1,1,1,L,Yes,
4 31,RO,45.6,1,1,L,Yes,
4 31,RO,39.9,1,1,L,Yes,
4 31,RO,52.6,1,2,L,Yes,
4 31,RO,52,1,2,L,Yes,
4 31,RO,46.6,1,2,L,No,triple stem only one in 
4 31,RO,36.2,1,1,L,No,
4 31,BB,26.3,1,1,L,NA,
4 33,RO,32.7,1,2,L,Yes,
4 33,RO,35.4,1,1,L,Yes,
4 33,RO,41.5,1,2,L,Yes,Around 50% dieback
4 33,RO,50.9,1,2,L,No,
4 33,WO,42.7,1,2,L,Yes,
4 33,RO,39.9,1,1,L,No,
4 33,RO,36,2,1,L,Yes,
4 33,RO,31.4,1,1,L,Yes,
4 35,RM,22.7,1,1,L,NA,
4 35,RM,14.4,1,1,L,NA,
4 35,RO,51,1,1,L,No,
4 37,RO,47.8,1,1,L,NA,
4 37,RO,50.3,1,1,L,Yes,
4 37,BO,41.6,1,1,L,No,
4 37,RM,12.6,1,1,L,NA,
4 37,RO,55.3,1,2,L,Yes,
4 37,RM,21.3,2,1,L,NA,
4 37,RO,52.3,1,1,L,No,
4 39,WP,73.5,1,1,L,NA,
4 39,RM,23.1,3,1,L,NA,
4 39,RM,18,3,1,L,NA,
4 39,WP,58.2,1,1,L,NA,
4 39,WP,75.9,1,1,L,NA,
4 39,RO,45,1,1,L,No,
4 40,BB,14.3,3,1,L,NA,
4 40,RO,29.3,1,1,L,Yes,
4 40,RO,55.1,1,1,L,Yes,
4 40,RO,54.8,1,1,L,No,
4 40,RO,58.6,1,1,L,Yes,
4 40,RO,51.3,1,1,L,Yes,
4 40,RO,52.8,1,1,L,Yes,
4 43,RO,70.5,1,1,L,Yes,
4 43,RO,51.2,1,1,L,Yes,
4 43,RO,42.8,1,1,L,Yes,
4 43,RO,53.2,1,1,L,Yes,
4 43,RO,34.3,1,1,L,Yes,
4 43,RO,28.1,1,1,L,Yes,
4 43,RO,31.6,1,1,L,Yes,
4 43,RO,24.7,1,1,L,Yes,
4 43,RO,35,1,1,L,Yes,
4 43,RO,44.1,1,1,L,No,
4 43,RM,14.3,3,1,L,NA,
4 43,WP,69.3,1,3,L,NA,
4 43,RO,38.1,1,1,L,No,
4 44,RO,63.8,1,2,L,Yes,
4 44,RO,54.1,1,1,L,Yes,
4 44,SM,22,2,1,L,NA,
4 44,RM,31.2,2,1,L,NA,
4 44,WA,38.1,1,4,L,NA,
4 44,WA,40.3,1,4,L,NA,
4 44,BB,37.6,1,1,L,NA,
4 44,RO,47.3,1,1,L,Yes,
4 53,WP,11.5,3,1,L,NA,
4 53,SM,35.4,1,1,L,NA,
4 53,SM,76.7,1,1,L,NA,
4 53,WA,38.4,1,1,L,NA,
4 53,SM,77.2,1,1,L,NA,
4 53,SM,39.5,3,1,L,NA,
4 53,SM,28.3,3,1,L,NA,
4 53,RM,28.7,3,1,L,NA,
4 53,RO,48.2,1,1,L,No,A little die back
4 56,BB,47.9,1,1,L,NA,
4 56,BB,70.3,2,1,L,NA,
4 56,BB,45,2,1,L,NA,
4 56,RM,46.2,1,1,L,NA,
4 56,RO,48.6,2,1,L,Yes,
4 56,SM,35.2,1,1,L,NA,
4 57,RO,42,1,2,L,No,bid dead branch
4 57,RO,70.3,1,2,L,Yes,"Triple stem, 1 died and broke off"
4 60,PB,38.8,1,1,L,NA,
4 60,RM,32.4,1,1,L,NA,
4 60,RO,50.9,1,1,L,Yes,"Forks, 1 fork dead"
4 60,RO,44.8,1,1,L,Yes,
4 60,RO,36.8,1,1,L,Yes,
4 60,WO,32.9,2,1,L,Yes,Wide base
4 60,RM,25.7,2,1,L,NA,
4 62,BB,60.3,1,1,L,NA,
4 62,BB,52.9,1,3,L,NA,
4 62,RM,16,3,1,L,NA,
4 62,RM,48,1,1,L,NA,
4 62,WA,55.6,1,2,L,NA,
4 62,WA,24.3,1,4,L,NA,
4 62,RM,25.5,1,1,L,NA,
4 62,BB,102.8,2,1,L,NA,
4 62,BB,34.4,2,1,L,NA,
4 62,BB,41.2,2,4,L,NA,
4 62,Hk,35.1,1,1,L,NA,hickory
4 62,SM,10.8,3,1,L,NA,
4 62,RO,43.2,1,1,L,Yes,
4 62,WA,40,1,2,L,NA,
4 62,RO,55.5,1,2,L,No,
4 62,BB,64.2,1,1,L,NA,
4 63,BB,42.1,2,1,L,NA,concave trunk
4 63,BB,40.2,1,1,L,NA,
4 63,RO,37.5,1,1,L,Yes,
4 63,RO,44.6,1,1,L,Yes,double stem; other dead
4 63,WO,30,1,2,L,No,
4 63,BB,29.1,3,1,L,NA,
4 63,BB,38.6,2,1,L,NA,
4 64,RM,34.7,1,1,L,NA,
4 64,Hk,34.2,1,1,L,NA,hickory
4 64,RM,36.6,1,1,L,NA,
4 64,SM,18.7,2,1,L,NA,
4 64,WA,42,1,1,L,NA,
4 64,RO,81.8,1,2,L,Yes,
4 67,RO,64.8,1,2,L,No,
4 67,Hk,23.1,1,1,L,NA,hickory
4 67,Hk,28.5,2,1,L,NA,hickory
4 67,Hk,40.7,1,1,L,NA,hickory
4 67,RO,67.1,1,1,L,Yes,
4 67,SM,19.4,3,1,L,NA,
4 67,Hk,40.8,1,1,L,NA,hickory
4 67,Hk,50.1,1,1,L,NA,hickory
4 67,Hk,36.7,1,1,L,NA,hickory
4 67,Hk,32.3,1,1,L,NA,hickory
4 68,RO,45.8,1,1,L,No,Both well above the canopy together
4 68,RO,45.8,1,1,L,No,
4 72,RO,38.1,1,1,L,Yes,
4 72,RM,34.1,2,1,L,NA,
4 72,RO,73.4,1,1,L,No,
4 72,RO,48.7,2,1,L,Yes,
4 72,RO,36.4,2,1,L,No,
4 72,RO,54.3,1,1,L,Yes,
4 72,WA,23.8,2,1,L,NA,
4 72,WA,26.3,2,1,L,NA,
4 72,WA,49,1,1,L,NA,
4 72,RO,42.5,1,1,L,Yes,
4 74,WP,44.3,1,1,L,NA,
4 74,WP,21.9,1,1,L,NA,
4 74,WP,25.3,1,1,L,NA,
4 74,WP,35.4,1,1,L,NA,
4 74,WP,16.7,1,1,L,NA,
4 74,WP,22,1,1,L,NA,
4 74,WP,17.8,1,1,L,NA,
4 74,WP,32.2,1,1,L,NA,
4 74,WP,28.8,1,1,L,NA,
4 74,WP,36.4,1,1,L,NA,
4 74,WP,34.6,1,1,L,NA,
4 74,SM,90.7,1,1,L,NA,Branch fell off
4 76,RO,54.3,1,1,L,Yes,
4 76,RO,52.1,1,1,L,Yes,
4 76,RO,45.2,1,1,L,Yes,
4 76,Be,23.2,3,1,L,NA,
4 76,RO,52.9,1,2,L,Yes,
4 76,WP,60.9,1,1,L,NA,
4 76,BB,38.9,1,1,L,NA,
4 76,RM,18.2,3,1,L,NA,
4 76,RO,53.9,1,2,L,Yes,
4 77,WA,87,1,1,L,NA,"In a clearing directly by the woods, hollow for ~15 ft"
4 77,RO,55.7,1,1,L,Yes,
4 77,WA,52.1,1,1,L,NA,missing top of crown 
4 85,BB,38.3,2,1,L,NA,
4 85,BB,41.6,1,1,L,NA,
4 85,BB,10.4,3,1,L,NA,
4 85,BB,14.5,3,1,L,NA,
4 85,BB,45.7,1,1,L,NA,
4 85,BB,34.7,1,1,L,NA,
4 85,WP,69.3,1,1,L,NA,
4 85,WP,61.2,1,1,L,NA,
4 85,WP,51.7,1,1,L,NA,
4 85,WP,57.4,1,1,L,NA,
4 85,WP,50.4,1,1,L,NA,
4 85,BB,41.2,1,1,L,NA,
4 85,BB,40.4,1,1,L,NA,
4 85,BB,33.2,2,1,L,NA,
4 85,BB,42.4,1,1,L,NA,
4 85,WP,31,3,1,L,NA,
4 87,WP,52.5,1,1,L,NA,
4 87,BB,12.8,2,1,L,NA,
4 87,BB,12.9,2,1,L,NA,
4 87,BB,11.1,2,1,L,NA,
4 87,WP,46.6,1,1,L,NA,
4 87,BB,10.1,2,1,L,NA,
4 87,BB,12.3,2,1,L,NA,
4 87,BB,16.8,2,1,L,NA,
4 90,WA,52.4,1,1,L,NA,
4 90,RM,26.8,3,1,L,NA,
4 90,RM,39.8,1,1,L,NA,
4 90,RM,50.8,2,1,L,NA,
4 90,RM,37.2,2,1,L,NA,
4 90,WP,108.5,1,1,L,NA,double
4 90,RM,48.1,1,1,L,NA,
4 90,RM,68.7,1,1,L,NA,double  of fourstem
4 90,RM,52.1,1,1,L,NA,four stem
4 90,RM,42.8,1,1,L,NA,four stem
4 90,WP,94.6,1,1,L,NA,
4 90,RM,35.1,1,2,L,NA,
4 93,RO,74.5,1,1,L,Yes,
4 93,RO,61.8,1,1,L,Yes,
4 93,RO,56.8,1,2,L,Yes,
4 96,RM,42.6,1,1,L,NA,
4 96,WA,50.3,1,1,L,NA,
4 96,BB,31.3,2,1,L,NA,
4 96,BB,35,1,1,L,NA,
4 96,BB,15.6,2,1,L,NA,
4 96,BB,47.6,2,1,L,NA,Nectria canker
4 96,WA,57.1,1,1,L,NA,
4 96,WA,13.5,2,1,L,NA,
4 96,BB,46.1,1,1,L,NA,big crown
4 96,BB,27.9,1,1,L,NA,
4 96,BB,20.8,2,1,L,NA,bent base on mound
4 96,BB,32.1,1,1,L,NA,
4 97,BB,25.9,2,1,L,NA,
4 97,WA,39.8,1,1,L,NA,
4 97,WA,54.1,1,1,L,NA,
4 97,BB,32.3,3,1,L,NA,
4 97,RM,67.7,1,1,L,NA,
4 97,WA,44.5,1,1,L,NA,
4 97,WA,62.4,1,1,L,NA,
4 97,BB,31.4,2,1,L,NA,
4 97,WA,62.3,1,1,L,NA,
4 97,RM,28.9,2,1,L,NA,
4 97,RM,27.2,2,1,L,NA,
5 00,WP,64.1,1,1,L,NA,
5 00,WP,74.3,1,1,L,NA,
5 00,RM,43.2,2,1,L,NA,
5 00,WP,71.5,2,1,L,NA,
5 00,WP,19.5,3,1,L,NA,
5 00,WP,60.8,1,1,L,NA,
5 00,WP,59,1,1,L,NA,
5 00,WP,58.8,1,1,L,NA,
5 00,RM,31.2,1,1,L,NA,
5 00,RM,30.1,1,1,L,NA,
5 00,RM,22.9,2,1,L,NA,
5 00,WP,47,1,1,L,NA,
5 00,RM,37,1,1,L,NA,
5 06,WP,64.3,1,1,L,NA,
5 06,WP,52.8,1,1,L,NA,
5 06,WP,77.6,1,1,L,NA,
5 06,WP,63.4,1,1,L,NA,
5 06,BB,15,3,1,L,NA,
5 06,BB,14.3,2,1,L,NA,leaning
5 06,WA,43.3,1,4,L,NA,2 branches with leaves
5 07,WP,38.8,1,1,L,NA,
5 07,WP,60.6,1,1,L,NA,
5 07,WP,39.5,2,1,L,NA,
5 07,WP,65.9,1,1,L,NA,
5 07,WP,60.8,1,1,L,NA,
5 07,WP,67.4,1,1,L,NA,
5 07,RM,41.5,2,1,L,NA,
5 07,RO,75,1,2,L,Yes,
5 07,RM,52.4,3,1,L,NA,
5 07,Hk,44.5,2,1,L,NA,hickory
5 07,WP,26.2,3,1,L,NA,
5 09,WP,10.3,3,1,L,NA,
5 09,WP,10.5,3,1,L,NA,
5 09,WP,43.2,1,1,L,NA,
5 09,RM,57.2,1,1,L,NA,
5 09,WP,53.8,1,1,L,NA,
5 09,WP,53.1,1,1,L,NA,
5 09,WP,59.7,1,1,L,NA,
5 09,WP,58,1,1,L,NA,
5 09,RO,56.5,1,1,L,Yes,
5 09,RM,36.7,2,1,L,NA,
5 09,WP,33.5,1,1,L,NA,
5 09,WP,54.8,1,1,L,NA,
5 09,WP,51.6,1,1,L,NA,
5 09,WP,54.3,1,1,L,NA,
5 10,RM,40.6,1,1,L,NA,double stem
5 10,RM,42.1,1,1,L,NA,double stem
5 10,WP,46.2,1,1,L,NA,
5 10,RM,57.4,2,1,L,NA,double stem
5 10,WP,62.9,1,1,L,NA,
5 10,RM,71.1,1,1,L,NA,triple stem 
5 10,RM,36,1,1,L,NA,
5 10,RM,46.6,2,1,L,NA,double stem
5 10,RM,32.8,1,1,L,NA,
5 10,WP,53.8,1,1,L,NA,
5 10,RM,30.2,2,1,L,NA,
5 10,WP,48.5,1,1,L,NA,
5 10,RM,36.4,1,2,L,NA,
5 12,WP,79.1,1,1,L,NA,
5 12,RM,41.8,1,1,L,NA,
5 12,WP,69.8,1,1,L,NA,
5 15,RM,19.3,3,1,L,NA,
5 15,RM,54.9,2,2,L,NA,"double stem, one stem dead"
5 15,Hk,44,1,1,L,NA,Shagbark hickory
5 15,RM,49.6,2,1,L,NA,
5 15,RM,51.9,1,1,L,NA,
5 15,RM,70,1,1,L,NA,
5 15,WP,84.8,1,1,L,NA,
5 15,WA,47,1,3,L,NA,
5 15,WA,38,1,2,L,NA,
5 15,RM,35.4,1,1,L,NA,
5 20,BB,13.3,2,1,L,NA,
5 20,RO,30.6,1,1,L,Yes,
5 20,RO,31.5,1,1,L,Yes,Some dieback
5 20,RO,32.5,1,1,L,Yes,
5 20,RO,35.5,1,1,L,Yes,
5 20,RO,38.9,1,2,L,Yes,
5 20,RO,26.2,1,2,L,Yes,
5 20,RO,35.2,1,1,L,Yes,
5 20,RO,39.9,1,2,L,Yes,
5 24,RM,53.6,1,1,L,NA,4 stems
5 24,RM,20.5,1,1,L,NA,4 stems
5 24,RM,20.9,1,1,L,NA,4 stems
5 24,RM,40.6,1,1,L,NA,
5 24,WP,64,1,1,L,NA,
5 24,RO,39.5,1,1,L,No,
5 24,RM,60.6,1,2,L,NA,
5 24,RM,30.3,2,1,L,NA,
5 24,RO,51.3,1,1,L,No,
5 24,RO,46.2,2,2,L,No,Big branch gone
5 24,WO,72.2,2,3,L,No,
5 24,WP,67.9,1,1,L,NA,
5 24,RO,47.8,1,1,L,No,
5 24,RM,41.3,1,2,L,NA,
5 26,Hk,14.1,2,1,L,NA,Shagbark hickory
5 26,WO,60.6,1,1,L,No,
5 26,BO,40.6,1,1,L,Yes,
5 26,BO,74.8,1,1,L,No,
5 26,Hk,16.8,3,1,L,NA,Shagbark hickory
5 26,RM,41.2,1,1,L,NA,Double stem
5 26,RM,33,1,1,L,NA,
5 26,RO,52.3,1,1,L,Yes,
5 26,RO,60.1,1,2,L,Yes,
5 27,RM,44,1,1,L,NA,
5 27,RM,39.9,1,1,L,NA,
5 27,RM,33.9,1,1,L,NA,
5 27,Hk,73.2,1,1,L,NA,Shagbark hickory
5 27,RM,31.8,1,1,L,NA,
5 27,RM,46.4,1,1,L,NA,
5 27,RM,27,3,1,L,NA,
5 27,RM,67.8,1,1,L,NA,
5 27,RM,27.8,2,1,L,NA,
5 27,RM,46.1,2,1,L,NA,
5 27,RO,82.4,1,2,L,No,
5 27,BO,47.9,2,1,L,No,
5 27,BO,62,1,1,L,Yes,
5 30,WP,85.9,1,1,L,NA,
5 30,RO,35.8,2,1,L,Yes,
5 30,WP,73.4,1,1,L,NA,
5 30,WP,75.3,1,1,L,NA,
5 30,BB,16.3,1,1,L,NA,
5 30,BB,11.2,1,1,L,NA,
5 30,BB,17.9,1,1,L,NA,
5 30,WP,74.7,1,1,L,NA,
5 30,Hk,15.8,1,1,L,NA,probably hickory
5 30,WP,88.7,1,1,L,NA,
5 32,BB,9.2,1,1,L,NA,
5 32,WP,31.5,1,1,L,NA,
5 32,WP,53,1,1,L,NA,
5 32,WP,76.5,1,1,L,NA,
5 32,RO,42.5,2,1,L,Yes,
5 32,BB,42.2,2,3,L,NA,
5 32,RO,34.4,1,1,L,Yes,
5 32,RM,19.6,2,1,L,NA,
5 32,BO,44.9,1,1,L,Yes,
5 32,BO,42.6,1,1,L,Yes,
5 32,RM,10.7,3,1,L,NA,
5 32,BO,26.3,1,1,L,Yes,
5 32,BO,39,1,1,L,No,Leaning
5 38,RO,23.4,2,1,L,Yes,
5 38,SM,19.5,3,1,L,NA,
5 38,SM,17.7,3,1,L,NA,
5 38,WP,61.3,1,1,L,NA,
5 38,WP,64,1,1,L,NA,
5 38,RO,83.3,1,1,L,Yes,
5 38,RM,32.5,2,1,L,NA,
5 38,BO,46.2,1,1,L,Yes,
5 38,WP,52.8,1,1,L,NA,
5 38,Hk,13.3,3,1,L,NA,butternut hickory
5 38,Hk,33.3,2,1,L,NA,butternut hickory
5 38,RO,79.6,1,1,L,No,spongy moth
5 54,BB,28.1,1,1,L,NA,
5 54,WP,70.1,1,1,L,NA,
5 54,RO,32,1,1,L,Yes,
5 54,WP,20.8,1,1,L,NA,
5 54,RO,45.3,1,1,L,Yes,
5 54,RO,29.2,2,1,L,Yes,
5 54,BB,27.4,1,1,L,NA,
5 54,SM,23.9,3,1,L,NA,
5 54,SM,42.9,1,1,L,NA,
5 54,RO,54.5,1,1,L,NA,
5 54,WP,17,2,2,L,NA,
5 54,RM,12.2,3,1,L,NA,
5 55,RO,43,1,1,L,Yes,
5 55,WP,54.5,1,1,L,NA,
5 55,WP,60.3,1,1,L,NA,
5 55,BO,41.6,3,2,L,Yes,
5 55,WP,59.4,1,1,L,NA,
5 55,RO,59.7,1,2,L,Yes,
5 55,WP,53.1,1,1,L,NA,
5 55,WP,58.6,1,1,L,NA,
5 55,RM,20.3,3,2,L,NA,
5 55,RM,17.8,3,1,L,NA,
5 55,RP,15.3,3,3,L,NA,
5 56,WO,37.7,1,3,L,Yes,
5 56,RO,47.9,1,2,L,Yes,Double Stem
5 56,WP,43,1,2,L,NA,
5 56,WO,25.8,2,1,L,Yes,
5 56,WO,30.8,1,2,L,Yes,
5 56,BO,46,1,1,L,No,
5 56,BO,35.8,1,1,L,No,
5 56,BO,43.4,1,1,L,Yes,
5 56,WO,14.5,2,2,L,No,
5 56,WP,24.6,2,3,L,NA,
5 58,RO,44.8,1,1,L,No,
5 58,BO,32.6,1,2,L,Yes,
5 58,RO,49.6,1,4,L,No,fungi on stem
5 58,WO,33.5,1,2,L,Yes,
5 58,RM,16.4,3,1,L,NA,
5 58,WO,32.3,1,1,L,Yes,some die back 
5 58,RO,43.5,1,2,L,Yes,
5 58,RO,60.7,1,1,L,Yes,
5 58,RM,16.3,3,1,L,NA,
5 58,RM,18.1,3,1,L,NA,
5 59,RO,56.2,1,1,L,NA,
5 59,BB,16.6,3,1,L,NA,
5 59,RO,57.8,1,1,L,NA,
5 59,RM,18.2,3,1,L,NA,
5 59,BB,18.8,2,1,L,NA,
5 59,WP,62.7,1,1,L,NA,
5 59,WP,62.9,1,1,L,NA,
5 59,WP,54.7,1,1,L,NA,
5 59,RM,13.3,3,1,L,NA,
5 59,RO,49.1,1,2,L,Yes,
