"","year4","sampledate","chl0","chl3","chl5","chl8","chl10","totnf_0","totnf_5","totnf_4","totnuf_0","totnuf_5","totnuf_4","totpf_0","totpf_5","totpf_4","totpuf_0","totpuf_5","totpuf_4","calanoid","cladoceran","copepod","cyclopoid","rotifer","mix_dist"
"106",2013,2013-06-11,1.4,1.7,3.9,7.3,4.5,138,145,NA,179,163,NA,1,2,NA,5,9,NA,NA,NA,NA,NA,NA,"mix"
"107",2013,2013-06-19,2.5,3.7,5.2,4.4,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mix"
"108",2013,2013-06-27,2.4,5.9,5.7,6.9,7.8,97,180,NA,134,207,NA,1,0,NA,5,6,NA,NA,34.16,128.8,80.08,404.6,"mix"
"109",2013,2013-07-03,2.1,3.1,4,5.6,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mix"
"110",2013,2013-07-10,3.2,4,3.6,9.2,8.3,136,NA,NA,141,NA,NA,2,NA,NA,3,NA,NA,2.24,41.44,103.6,61.6,253.68,"mix"
"111",2013,2013-07-18,1.7,2,3.5,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mix"
"112",2013,2013-07-24,2.4,3.5,4.3,7.2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.16,40.6,112,51.24,227.36,"mix"
"113",2013,2013-07-31,3.7,6.6,4.8,3.9,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mix"
"114",2013,2013-08-08,4,6.5,7.7,4.9,5,108,NA,NA,119,NA,NA,2,NA,NA,5,NA,NA,1.68,12.32,21.56,12.6,128.52,"mix"
"115",2013,2013-08-14,2.9,8.9,9.3,6.9,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mix"
"116",2013,2013-08-21,7,8.7,12.5,8.8,1.2,177,NA,NA,183,NA,NA,2,NA,NA,5,NA,NA,5.32,12.6,20.16,5.6,89.32,"mix"
"117",2013,2013-09-06,2.1,4.8,4,4.4,4.8,188,NA,NA,192,NA,NA,7,NA,NA,9,NA,NA,5.04,9.24,13.44,0.56,195.44,"mix"
"118",2013,2013-10-01,6.9,6.9,7.2,6.7,7.2,187,NA,NA,195,NA,NA,8,NA,NA,10,NA,NA,11.48,19.32,30.24,7,246.96,"mix"
"119",2013,2013-10-31,4.2,4.4,4.7,5.5,4.1,170,NA,NA,203,NA,NA,5,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,"mix"
"120",2014,2014-05-22,3.8,3.6,6,11,11,149,NA,NA,187,NA,NA,1,NA,NA,6,NA,NA,0.28,0.84,48.44,8.4,95.76,"post"
"121",2014,2014-06-18,1.5,1.3,2.2,2.3,3.8,162,162,NA,159,158,NA,9,7,NA,7,9,NA,0.56,9.24,14,12.6,466.48,"post"
"122",2014,2014-07-03,1.2,1.4,1.6,2.2,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post"
"123",2014,2014-07-17,0.8,1.1,1.2,1.7,3,162,166,NA,170,157,NA,4,9,NA,9,12,NA,1.68,11.2,28.56,8.4,251.44,"post"
"124",2014,2014-07-31,1.4,1.7,1.8,1.4,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post"
"125",2014,2014-08-13,1.9,2.8,3.3,4.1,7.5,196,160,NA,208,164,NA,1,1,NA,2,2,NA,7.28,10.92,151.76,23.8,291.76,"post"
"126",2014,2014-08-28,2.8,3.2,3.3,3.3,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post"
"127",2014,2014-09-10,1.4,2.4,1.9,1.9,2.8,145,NA,NA,171,NA,NA,4,NA,NA,6,NA,NA,7.56,14.56,46.48,17.64,61.04,"post"
"128",2014,2014-09-24,1.5,1.3,1,1.5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post"
"129",2014,2014-10-07,1.7,1.7,1.9,2.1,2.3,135,NA,NA,176,NA,NA,17,NA,NA,5,NA,NA,5.32,19.6,45.92,16.24,51.8,"post"
"130",2014,2014-10-20,2.7,3.4,3.7,3,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post"
"131",2015,2015-04-20,13.8,9.8,13.3,9,18.2,184,NA,NA,173,NA,NA,5,NA,NA,7,NA,NA,NA,0.28,8.68,20.44,40.32,"post"
"132",2015,2015-05-04,3.6,3.9,4.4,5.6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post"
"133",2015,2015-05-20,1.6,5.2,2.7,4.9,6.2,145,143,NA,140,151,NA,4,4,NA,5,6,NA,0.28,1.68,46.48,19.6,45.36,"post"
"134",2015,2015-06-01,1,1,1.2,3,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post"
"135",2015,2015-06-16,0.7,0.7,0.8,2,4,148,156,NA,146,160,NA,3,3,NA,3,4,NA,0.56,32.48,100.24,53.48,677.6,"post"
"136",2015,2015-07-01,0.7,0.7,1,1.6,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post"
"137",2015,2015-07-13,1.1,0.6,0.5,1.3,2.6,172,NA,NA,169,NA,NA,3,NA,NA,3,NA,NA,NA,61.6,89.6,59.36,344.4,"post"
"138",2015,2015-07-27,0.6,0.8,0.8,1.3,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post"
"139",2015,2015-08-10,1.2,1.6,1.1,1.6,6.4,174,NA,NA,191,NA,NA,0,NA,NA,3,NA,NA,5.04,45.36,64.96,65.52,375.76,"post"
"140",2015,2015-08-24,2.8,2.1,2.3,1.8,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post"
"141",2015,2015-09-10,1.5,1.3,1.8,3.7,6.8,101,NA,NA,156,NA,NA,2,NA,NA,4,NA,NA,1.96,6.44,7,13.44,27.16,"post"
"142",2015,2015-09-22,1.5,1.6,1.7,1.4,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post"
"143",2015,2015-10-06,1.3,1,1.4,1.3,1.2,273,NA,NA,261,NA,NA,5,NA,NA,6,NA,NA,2.52,5.88,11.48,9.24,1.68,"post"
"144",2015,2015-10-20,1.9,2.1,2.8,2.3,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post"
"145",2016,2016-04-26,2.4,2.7,3.9,3.1,5.8,135,NA,NA,200,NA,NA,0,NA,NA,0,NA,NA,2.24,7,99.4,16.52,593.6,"post"
"146",2016,2016-05-11,3.1,1.8,3,4.4,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post"
"147",2016,2016-05-25,1.6,1.6,2,2.2,4.8,115,121,NA,139,128,NA,3,4,NA,6,4,NA,5.88,12.32,121.8,34.16,576.8,"post"
"148",2016,2016-06-08,1.3,1.2,1.3,4.6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post"
"149",2016,2016-06-22,1.3,1.2,1.1,2,2.5,132,NA,NA,143,NA,NA,5,NA,NA,5,NA,NA,4.2,13.16,95.2,25.2,324.8,"post"
"150",2016,2016-07-07,1.7,1.5,1.6,2.1,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post"
"151",2016,2016-07-19,1.6,2.6,1.6,2.8,3,142,NA,NA,162,NA,NA,6,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,"post"
"152",2016,2016-08-01,1.6,2.3,1,1.4,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post"
"153",2016,2016-08-17,1.2,1.1,1.2,1.3,2,175,129,NA,181,179,NA,4,7,NA,5,7,NA,2.52,25.76,83.44,25.2,215.6,"post"
"154",2016,2016-08-31,0.6,0.7,1.2,1.5,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post"
"155",2016,2016-09-14,1.2,1.2,1.2,1.3,1.5,172,NA,NA,183,NA,NA,6,NA,NA,8,NA,NA,7.28,9.24,83.44,11.2,171.92,"post"
"156",2016,2016-09-26,1.4,1.7,0.6,0.4,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post"
"157",2016,2016-10-11,2.2,1.7,1.5,2,1.7,159,NA,NA,191,NA,NA,5,NA,NA,7,NA,NA,4.2,1.12,17.64,3.64,64.4,"post"
"158",2016,2016-10-25,2.2,2.4,2.9,2.6,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post"
"159",2017,2017-04-18,2.6,3.2,3.5,3.5,3.7,141,NA,NA,177,NA,NA,4,NA,NA,8,NA,NA,2.52,0.56,121.8,7.56,135.8,"post"
"160",2017,2017-05-03,3,3.1,3.2,3.9,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post"
"161",2017,2017-05-17,1.8,1.9,3.1,3.4,4.3,135,114,NA,154,166,NA,4,6,NA,9,9,NA,11.76,2.24,123.2,64.4,331.8,"post"
"162",2017,2017-06-01,1.1,1.6,2.3,3.9,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post"
"163",2017,2017-06-15,0.9,1.1,1.4,3.6,5,161,NA,NA,179,NA,NA,3,NA,NA,5,NA,NA,7.84,12.04,71.12,29.4,226.24,"post"
"164",2017,2017-06-27,2,2,1.7,3.9,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post"
"165",2017,2017-07-12,1.3,0.7,1.4,4.9,5.7,165,NA,NA,192,NA,NA,0,NA,NA,1,NA,NA,9.24,22.96,72.8,22.68,307.44,"post"
"166",2017,2017-07-26,1,1.5,1.2,2.4,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post"
"167",2017,2017-08-08,1.2,2.4,1.6,1.5,4.6,175,162,NA,176,193,NA,0,5,NA,2,2,NA,10.92,21.84,36.4,9.24,140.56,"post"
"168",2017,2017-08-23,1.5,1.5,1.2,2.8,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post"
"169",2017,2017-09-07,1.9,1.8,1.6,1.7,3.8,149,NA,NA,192,NA,NA,2,NA,NA,4,NA,NA,8.68,9.52,21.28,5.6,76.72,"post"
"170",2017,2017-09-20,1.5,1.4,2.1,2.2,11.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post"
"171",2017,2017-10-04,2,1.7,1.8,1.6,1.9,179,NA,NA,189,NA,NA,3,NA,NA,3,NA,NA,4.76,2.52,27.72,3.08,55.44,"post"
"172",2017,2017-10-16,1.8,1.4,2,1.7,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post"
"173",2018,2018-05-15,0.4,0.5,1.1,1.8,3.1,180,NA,NA,192,NA,NA,2,NA,NA,4,NA,NA,1.68,1.68,60.2,0.84,49.56,"post"
"174",2018,2018-05-31,1.7,1.5,1.9,3.9,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post"
"175",2018,2018-06-12,0.9,1,1.2,1.8,5.1,153,140,NA,177,170,NA,4,4,NA,5,6,NA,25.76,6.72,19.04,28.56,128.24,"post"
"176",2018,2018-06-25,0.6,1.4,0.2,1.8,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post"
"177",2018,2018-07-10,1.8,3.8,3.2,3.2,3.8,131,158,NA,175,176,NA,2,2,NA,5,6,NA,17.92,23.24,NA,23.8,166.6,"post"
"178",2018,2018-07-24,2.1,-2.8,1.8,2.9,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post"
"179",2018,2018-08-08,1.7,1.8,2.4,3.2,3.4,149,168,NA,150,185,NA,2,2,NA,2,2,NA,14.28,26.6,53.2,15.96,305.2,"post"
"180",2018,2018-08-21,2.2,2,1.6,3,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post"
"181",2018,2018-09-06,0.5,0.6,0.6,1.5,2,138,145,NA,234,146,NA,0,4,NA,2,0,NA,11.48,12.04,56,10.92,28.28,"post"
"182",2018,2018-09-18,1,1,0.7,0.9,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post"
"183",2018,2018-10-03,1.6,1.8,1.7,2.2,2.5,102,NA,NA,194,NA,NA,0,NA,NA,0,NA,NA,10.36,13.44,45.5,9.52,125.3,"post"
"184",2018,2018-10-16,1.6,-10.2,3.3,3.3,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post"
"185",2019,2019-05-07,1.2,1.5,2.8,3.7,10.5,140,NA,NA,169,NA,NA,1,NA,NA,4,NA,NA,3.36,0.28,80.64,3.64,100.24,"post"
"186",2019,2019-05-22,2.5,1.6,2.9,6,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post"
"187",2019,2019-06-05,1,0.9,0.9,3.8,3.8,147,136,NA,203,150,NA,3,2,NA,8,7,NA,18.48,3.64,84,34.72,406,"post"
"188",2019,2019-06-19,0.7,1.1,1.1,3.2,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post"
"189",2019,2019-07-02,1,1.9,2.3,14.4,6.2,156,NA,NA,149,NA,NA,5,NA,NA,5,NA,NA,18.2,11.2,78.4,22.68,666.4,"post"
"190",2019,2019-07-16,2.1,1.9,4.1,4,9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post"
"191",2019,2019-07-31,1.9,1.4,1.9,2.2,2.6,116,115,NA,105,159,NA,1,3,NA,3,5,NA,14.28,22.12,41.44,12.6,157.36,"post"
"192",2019,2019-08-12,1.9,1.7,0.7,1.7,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post"
"193",2019,2019-08-27,2.2,3.3,2.3,2.1,4.1,110,98,NA,112,124,NA,4,4,NA,7,7,NA,8.68,7,30.52,7.28,29.68,"post"
"194",2019,2019-09-11,3.2,1,1.1,2.1,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post"
"195",2019,2019-09-25,-0.2,1.6,-0.3,1.3,2.5,204,NA,NA,157,NA,NA,3,NA,NA,4,NA,NA,9.52,5.32,18.48,2.8,101.36,"post"
"196",2019,2019-10-09,2.8,2.5,3.7,3.8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post"
"197",2019,2019-10-22,3.7,2,4.9,3.8,3.4,172,NA,NA,197,NA,NA,3,NA,NA,8,NA,NA,7.56,11.76,131.6,11.76,317.8,"post"
"198",2020,2020-05-01,1.8,2.7,3,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post"
"199",2020,2020-06-01,1.9,2,3.3,5.3,13.2,103,129,NA,194,166,NA,3,5,NA,10,11,NA,NA,NA,NA,NA,NA,"post"
"200",2020,2020-07-01,1,1.1,1.5,1.1,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post"
"201",2020,2020-08-04,1.4,1.6,1.5,2.3,5.9,138,26,NA,215,88,NA,3,3,NA,7,8,NA,NA,NA,NA,NA,NA,"post"
"202",2020,2020-09-09,2.4,2.2,2.1,2.6,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post"
"203",2020,2020-10-13,3.2,2.5,2.8,2.3,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post"
"204",2021,2021-04-07,1,1.6,2,3,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post"
"205",2021,2021-05-04,2.7,3.8,3.1,5,12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post"
"206",2021,2021-06-03,2.6,1.4,5.7,4.4,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post"
"207",2021,2021-06-29,2.4,1.8,1.5,2.1,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post"
"208",2021,2021-07-26,1.5,1.5,1.7,0.9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post"
"209",2021,2021-08-23,1.5,1.5,1.4,1.6,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post"
"210",2021,2021-09-23,-0.2,0.7,0.5,1.3,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post"
"211",2021,2021-10-19,1.4,1.3,1.5,1.6,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post"
